ElapsedTime(s),Battery(%)
32.4982,84.6458
32.5982,84.6491
32.6982,84.6524
32.7983,84.6557
32.8982,84.659
32.9982,84.6623
33.0982,84.6656
33.1982,84.6689
33.2982,84.6722
33.3982,84.6755
33.4982,84.6789
33.5982,84.6822
33.6982,84.6855
33.7982,84.6888
33.8982,84.6921
33.9982,84.6954
34.0982,84.6987
34.1982,84.702
34.2982,84.7053
34.3982,84.7086
34.4982,84.7119
34.5982,84.7152
34.6982,84.7185
34.7982,84.7219
34.8982,84.7252
34.9982,84.7285
35.0982,84.7318
35.1982,84.7351
35.2982,84.7384
35.3982,84.7417
35.4982,84.745
35.5982,84.7483
35.6981,84.7516
35.7981,84.7549
35.8982,84.7582
35.9982,84.7615
36.0982,84.7649
36.1982,84.7682
36.2982,84.7715
36.3982,84.7748
36.4982,84.7781
36.5982,84.7814
36.6982,84.7847
36.7983,84.788
36.8982,84.7913
36.9982,84.7946
37.0982,84.7979
37.1982,84.8012
37.2982,84.8045
37.3982,84.8079
37.4982,84.8112
37.5983,84.8145
37.6982,84.8178
37.7982,84.8211
37.8982,84.8244
37.9982,84.8277
38.0982,84.831
38.1982,84.8343
38.2982,84.8376
38.3982,84.8409
38.4982,84.8442
38.5982,84.8475
38.6982,84.8508
38.7982,84.8542
38.8982,84.8575
38.9982,84.8608
39.0982,84.8641
39.1982,84.8674
39.2983,84.8707
39.3982,84.874
39.4982,84.8773
39.5982,84.8806
39.6982,84.8839
39.7982,84.8872
39.8982,84.8905
39.9982,84.8938
40.0982,84.8972
40.1982,84.9005
40.2982,84.9038
40.3983,84.9071
40.4982,84.9104
40.5982,84.9137
40.6982,84.917
40.7982,84.9203
40.8982,84.9236
40.9982,84.9269
41.0982,84.9302
41.1982,84.9335
41.2982,84.9368
41.3982,84.9402
41.4982,84.9435
41.5982,84.9468
41.6982,84.9499
41.7982,84.9532
41.8982,84.9565
41.9982,84.9598
42.0983,84.9631
42.1982,84.9664
42.2982,84.9697
42.3982,84.9731
42.4982,84.9764
42.5982,84.9797
42.6982,84.983
42.7982,84.9863
42.8982,84.9896
42.9982,84.9929
43.0982,84.9962
43.1982,84.9995
43.2982,85.0028
43.3982,85.0061
43.4982,85.0094
43.5982,85.0128
43.6982,85.0161
43.7982,85.0194
43.8982,85.0227
43.9982,85.026
44.0982,85.0293
44.1982,85.0326
44.2982,85.0359
44.3982,85.0392
44.4982,85.0425
44.5982,85.0458
44.6982,85.0491
44.7982,85.0524
44.8982,85.0557
44.9982,85.0591
45.0982,85.0624
45.1982,85.0657
45.2982,85.069
45.3982,85.0723
45.4982,85.0756
45.5982,85.0789
45.6982,85.0822
45.7982,85.0855
45.8982,85.0888
45.9982,85.0921
46.0982,85.0954
46.1983,85.0987
46.2982,85.102
46.3982,85.1054
46.4982,85.1087
46.5982,85.112
46.6982,85.1153
46.7982,85.1186
46.8982,85.1219
46.9982,85.1252
47.0982,85.1285
47.1982,85.1318
47.2982,85.1351
47.3982,85.1384
47.4982,85.1417
47.5982,85.145
47.6982,85.1484
47.7982,85.1517
47.8982,85.155
47.9982,85.1583
48.0982,85.1616
48.1982,85.1649
48.2982,85.1682
48.3982,85.1715
48.4982,85.1748
48.5982,85.1781
48.6982,85.1814
48.7982,85.1847
48.8982,85.188
48.9982,85.1914
49.0982,85.1947
49.1982,85.198
49.2982,85.2013
49.3982,85.2046
49.4982,85.2079
49.5982,85.2112
49.6982,85.2145
49.7982,85.2178
49.8982,85.2211
49.9982,85.2244
50.0982,85.2277
50.1982,85.231
50.2982,85.2344
50.3982,85.2377
50.4982,85.241
50.5982,85.2443
50.6982,85.2476
50.7982,85.2509
50.8982,85.2542
50.9982,85.2575
51.0982,85.2608
51.1982,85.2641
51.2982,85.2674
51.3982,85.2707
51.4982,85.274
51.5982,85.2773
51.6982,85.2807
51.7982,85.284
51.8982,85.2873
51.9982,85.2906
52.0982,85.2939
52.1982,85.2972
52.2982,85.3005
52.3982,85.3038
52.4982,85.3071
52.5983,85.3104
52.6982,85.3137
52.7982,85.317
52.8982,85.3203
52.9982,85.3236
53.0982,85.327
53.1982,85.3303
53.2982,85.3336
53.3982,85.3369
53.4982,85.3402
53.5982,85.3435
53.6982,85.3468
53.7983,85.3501
53.8982,85.3534
53.9982,85.3567
54.0982,85.36
54.1982,85.3633
54.2982,85.3666
54.3982,85.37
54.4982,85.3733
54.5982,85.3766
54.6982,85.3799
54.7982,85.3832
54.8982,85.3865
54.9982,85.3898
55.0982,85.3931
55.1982,85.3964
55.2982,85.3997
55.3982,85.403
55.4982,85.4063
55.5982,85.4096
55.6982,85.413
55.7982,85.4163
55.8982,85.4196
55.9982,85.4229
56.0982,85.4262
56.1982,85.4295
56.2982,85.4328
56.3982,85.4361
56.4982,85.4394
56.5982,85.4427
56.6982,85.446
56.7982,85.4493
56.8982,85.4526
56.9982,85.4559
57.0982,85.4593
57.1982,85.4626
57.2982,85.4659
57.3982,85.4692
57.4982,85.4725
57.5982,85.4758
57.6982,85.4791
57.7983,85.4824
57.8982,85.4857
57.9982,85.489
58.0982,85.4923
58.1982,85.4956
58.2982,85.4989
58.3982,85.5023
58.4982,85.5056
58.5982,85.5089
58.6982,85.5122
58.7982,85.5155
58.8982,85.5188
58.9982,85.5221
59.0982,85.5254
59.1982,85.5287
59.2982,85.532
59.3982,85.5353
59.4982,85.5386
59.5982,85.5419
59.6982,85.5453
59.7982,85.5486
59.8982,85.5519
59.9982,85.5552
60.0982,85.5585
60.1982,85.5618
60.2982,85.5651
60.3982,85.5684
60.4982,85.5717
60.5982,85.575
60.6982,85.5783
60.7982,85.5816
60.8982,85.5849
60.9983,85.5883
61.0982,85.5916
61.1982,85.5949
61.2982,85.5982
61.3982,85.6015
61.4982,85.6048
61.5982,85.6081
61.6982,85.6114
61.7982,85.6147
61.8982,85.618
61.9982,85.6213
62.0982,85.6246
62.1982,85.6279
62.2982,85.6312
62.3982,85.6346
62.4982,85.6379
62.5982,85.6412
62.6982,85.6445
62.7982,85.6478
62.8982,85.6511
62.9982,85.6544
63.0983,85.6577
63.1982,85.661
63.2982,85.6643
63.3982,85.6676
63.4982,85.6709
63.5982,85.6742
63.6982,85.6775
63.7982,85.6809
63.8982,85.6842
63.9982,85.6875
64.0982,85.6908
64.1982,85.6941
64.2982,85.6974
64.3982,85.7007
64.4983,85.704
64.5983,85.7073
64.6982,85.7106
64.7983,85.7139
64.8983,85.7172
64.9983,85.7205
65.0983,85.7239
65.1983,85.7272
65.2983,85.7305
65.3983,85.7338
65.4983,85.7371
65.5983,85.7404
65.6983,85.7437
65.7983,85.747
65.8983,85.7503
65.9983,85.7536
66.0983,85.7569
66.1983,85.7602
66.2983,85.7635
66.3983,85.7669
66.4983,85.7702
66.5983,85.7735
66.6984,85.7768
66.7982,85.7801
66.8982,85.7834
66.9983,85.7867
67.0982,85.79
67.1983,85.7933
67.2983,85.7966
67.3983,85.7999
67.4983,85.8032
67.5983,85.8065
67.6983,85.8098
67.7983,85.8132
67.8982,85.8165
67.9982,85.8196
68.0982,85.8229
68.1983,85.8262
68.2983,85.8295
68.3983,85.8328
68.4983,85.8361
68.5983,85.8395
68.6983,85.8428
68.7983,85.8461
68.8983,85.8494
68.9983,85.8527
69.0983,85.856
69.1983,85.8593
69.2983,85.8626
69.3983,85.8659
69.4983,85.8692
69.5983,85.8725
69.6983,85.8758
69.7983,85.8791
69.8983,85.8824
69.9983,85.8858
70.0983,85.8891
70.1983,85.8924
70.2983,85.8957
70.3983,85.899
70.4983,85.9023
70.5983,85.9056
70.6983,85.9089
70.7983,85.9122
70.8983,85.9155
70.9982,85.9188
71.0983,85.9221
71.1983,85.9254
71.2983,85.9287
71.3983,85.9321
71.4983,85.9354
71.5983,85.9387
71.6983,85.942
71.7983,85.9453
71.8982,85.9486
71.9983,85.9519
72.0983,85.9552
72.1983,85.9585
72.2983,85.9618
72.3983,85.9651
72.4983,85.9684
72.5983,85.9718
72.6983,85.9751
72.7983,85.9784
72.8983,85.9817
72.9983,85.985
73.0983,85.9883
73.1983,85.9916
73.2983,85.9949
73.3983,85.9982
73.4983,86.0015
73.5983,86.0048
73.6983,86.0081
73.7983,86.0114
73.8983,86.0148
73.9983,86.0181
74.0983,86.0214
74.1983,86.0247
74.2983,86.028
74.3983,86.0313
74.4983,86.0346
74.5983,86.0379
74.6983,86.0412
74.7983,86.0445
74.8983,86.0478
74.9983,86.0511
75.0983,86.0544
75.1983,86.0577
75.2983,86.061
75.3983,86.0644
75.4983,86.0677
75.5983,86.071
75.6983,86.0743
75.7983,86.0776
75.8983,86.0809
75.9983,86.0842
76.0983,86.0875
76.1983,86.0908
76.2983,86.0941
76.3983,86.0974
76.4983,86.1007
76.5983,86.104
76.6983,86.1074
76.7983,86.1107
76.8983,86.114
76.9983,86.1173
77.0983,86.1206
77.1983,86.1239
