ElapsedTime(s),Battery(%),DistanceRemaining
2.96437,99.9337,9.09975
2.9744,99.9337,9.09975
2.98435,99.9337,9.09975
2.99436,99.9337,9.09975
3.00434,99.9308,9.09975
3.01436,99.9308,9.02904
3.02439,99.9308,9.02904
3.0344,99.9308,9.02904
3.04438,99.9308,9.02904
3.05434,99.9308,9.02904
3.06433,99.9308,9.02904
3.0744,99.9308,9.02904
3.08442,99.9308,9.02904
3.09441,99.9308,9.02904
3.1043,99.928,9.02904
3.11423,99.928,9.02904
3.12432,99.928,9.02904
3.13437,99.928,9.02904
3.14436,99.928,9.02904
3.15433,99.928,8.95833
3.16431,99.928,8.95833
3.17436,99.928,8.95833
3.18452,99.928,8.95833
3.1944,99.928,8.95833
3.20433,99.9251,8.95833
3.21433,99.9251,8.95833
3.2244,99.9251,8.95833
3.23438,99.9251,8.95833
3.24437,99.9251,8.95833
3.25432,99.9251,8.95833
3.26442,99.9251,8.95833
3.27435,99.9251,8.95833
3.28436,99.9251,8.95833
3.29435,99.9251,8.88762
3.30436,99.9222,8.88762
3.31435,99.9222,8.88762
3.32442,99.9222,8.88762
3.33445,99.9222,8.88762
3.34446,99.9222,8.88762
3.35436,99.9222,8.88762
3.36434,99.9222,8.88762
3.3744,99.9222,8.88762
3.38437,99.9222,8.88762
3.39437,99.9222,8.88762
3.40439,99.9193,8.88762
3.41446,99.9193,8.88762
3.42441,99.9193,8.88762
3.43442,99.9193,8.81691
3.44455,99.9193,8.83762
3.45434,99.9193,8.83762
3.46435,99.9193,8.83762
3.47436,99.9193,8.83762
3.48433,99.9193,8.83762
3.49438,99.9193,8.83762
3.50433,99.9165,8.83762
3.51436,99.9165,8.83762
3.52437,99.9165,8.83762
3.53439,99.9165,8.7669
3.54444,99.9165,8.7669
3.5543,99.9165,8.7669
3.56432,99.9165,8.7669
3.57438,99.9165,8.7669
3.58437,99.9165,8.7669
3.59441,99.9165,8.7669
3.60432,99.9136,8.7669
3.61432,99.9136,8.7669
3.62439,99.9136,8.7669
3.63436,99.9136,8.7669
3.64438,99.9136,8.7669
3.65433,99.9136,8.7669
3.66432,99.9136,8.7669
3.67441,99.9136,8.69619
3.68439,99.9136,8.69619
3.6944,99.9136,8.69619
3.70437,99.9107,8.69619
3.71435,99.9107,8.69619
3.72438,99.9107,8.69619
3.73438,99.9107,8.69619
3.74436,99.9107,8.69619
3.75431,99.9107,8.69619
3.76432,99.9107,8.69619
3.77442,99.9107,8.69619
3.78437,99.9107,8.69619
3.79438,99.9107,8.69619
3.80441,99.9078,8.69619
3.81434,99.9078,8.62548
3.82439,99.9078,8.62548
3.83439,99.9078,8.62548
3.8444,99.9078,8.62548
3.85436,99.9078,8.62548
3.86433,99.9078,8.62548
3.87438,99.9078,8.62548
3.88438,99.9078,8.62548
3.89438,99.9078,8.62548
3.90432,99.905,8.62548
3.91433,99.905,8.62548
3.92437,99.905,8.62548
3.9344,99.905,8.62548
3.9444,99.905,8.62548
3.95435,99.905,8.62548
3.9643,99.905,8.62548
3.97437,99.905,8.55477
3.98434,99.905,8.55477
3.99437,99.905,8.55477
4.00432,99.9021,8.55477
4.01432,99.9021,8.55477
4.02441,99.9021,8.55477
4.0344,99.9021,8.55477
4.04439,99.9021,8.55477
4.05433,99.9021,8.55477
4.06432,99.9021,8.55477
4.0744,99.9021,8.55477
4.08444,99.9021,8.55477
4.0944,99.9021,8.55477
4.10434,99.8992,8.55477
4.11434,99.8992,8.48406
4.12438,99.8992,8.48406
4.13436,99.8992,8.48406
4.14442,99.8992,8.48406
4.15438,99.8992,8.48406
4.16434,99.8992,8.48406
4.17438,99.8992,8.48406
4.18439,99.8992,8.48406
4.19438,99.8992,8.48406
4.2044,99.8963,8.48406
4.21446,99.8963,8.48406
4.22443,99.8963,8.48406
4.23442,99.8963,8.48406
4.24439,99.8963,8.48406
4.25434,99.8963,8.41335
4.26433,99.8963,8.41335
4.2744,99.8963,8.41335
4.28442,99.8963,8.41335
4.2944,99.8963,8.41335
4.30435,99.8934,8.41335
4.31434,99.8934,8.41335
4.32438,99.8934,8.41335
4.33441,99.8934,8.41335
4.34442,99.8934,8.41335
4.35438,99.8934,8.41335
4.36434,99.8934,8.41335
4.37439,99.8934,8.41335
4.38438,99.8934,8.41335
4.39439,99.8934,8.34264
4.40433,99.8906,8.34264
4.41433,99.8906,8.34264
4.42438,99.8906,8.34264
4.43438,99.8906,8.34264
4.44439,99.8906,8.34264
4.45437,99.8906,8.34264
4.4643,99.8906,8.34264
4.47442,99.8906,8.34264
4.48461,99.8906,8.34264
4.49424,99.8906,8.34264
4.50434,99.8878,8.34264
4.51438,99.8878,8.34264
4.52434,99.8878,8.34264
4.53434,99.8878,8.34264
4.54442,99.8878,8.34264
4.55435,99.8878,8.27193
4.56434,99.8878,8.27193
4.57439,99.8878,8.27193
4.58442,99.8878,8.27193
4.59438,99.8878,8.27193
4.60432,99.885,8.27193
4.61433,99.885,8.27193
4.62438,99.885,8.27193
4.63444,99.885,8.27193
4.64442,99.885,8.27193
4.65439,99.885,8.27193
4.66437,99.885,8.27193
4.67442,99.885,8.27193
4.68437,99.885,8.27193
4.69439,99.885,8.20122
4.70432,99.8821,8.20122
4.71436,99.8821,8.20122
4.72438,99.8821,8.20122
4.73441,99.8821,8.20122
4.74437,99.8821,8.20122
4.75434,99.8821,8.20122
4.76434,99.8821,8.20122
4.77439,99.8821,8.20122
4.78436,99.8821,8.20122
4.79438,99.8821,8.20122
4.80431,99.8792,8.20122
4.81437,99.8792,8.20122
4.8244,99.8792,8.20122
4.83447,99.8792,8.13051
4.84439,99.8792,8.13051
4.85431,99.8792,8.13051
4.8643,99.8792,8.13051
4.87435,99.8792,8.13051
4.88438,99.8792,8.13051
4.8944,99.8792,8.13051
4.90435,99.8763,8.13051
4.91433,99.8763,8.13051
4.92446,99.8763,8.13051
4.93442,99.8763,8.13051
4.94442,99.8763,8.13051
4.95435,99.8763,8.13051
