ElapsedTime(s),Battery(%)
32.6961,99.1075
32.7961,99.1046
32.8961,99.1017
32.9961,99.0988
33.0961,99.096
33.1961,99.0931
33.2961,99.0902
33.3961,99.0873
33.4961,99.0844
33.5961,99.0816
33.6961,99.0787
33.7961,99.0758
33.8961,99.0729
33.9961,99.0701
34.0961,99.0672
34.1961,99.0643
34.2961,99.0614
34.3961,99.0586
34.4961,99.0557
34.5961,99.0528
34.6961,99.0499
34.7961,99.0471
34.8961,99.0442
34.9961,99.0413
35.0961,99.0384
35.1961,99.0356
35.2961,99.0327
35.3961,99.0298
35.4961,99.0269
35.5961,99.0241
35.6961,99.0212
35.7961,99.0183
35.8961,99.0154
35.9961,99.0125
36.0961,99.0097
36.1961,99.0068
36.2961,99.0039
36.3961,99.001
36.4961,98.9982
36.5961,98.9953
36.6961,98.9924
36.7962,98.9895
36.8961,98.9867
36.9961,98.9838
37.0961,98.9809
37.1961,98.978
37.2961,98.9752
37.3961,98.9723
37.4961,98.9694
37.5961,98.9665
37.6961,98.9637
37.7961,98.9608
37.8961,98.9579
37.9961,98.955
38.0961,98.9521
38.1961,98.9493
38.2961,98.9464
38.3961,98.9435
38.4961,98.9406
38.5961,98.9378
38.6961,98.9349
38.7961,98.932
38.8961,98.9291
38.9962,98.9263
39.0961,98.9234
39.1961,98.9205
39.2961,98.9176
39.3961,98.9148
39.4961,98.9119
39.5961,98.909
39.6961,98.9061
39.7961,98.9033
39.8961,98.9004
39.9961,98.8975
40.0961,98.8946
40.1961,98.8918
40.2961,98.8889
40.3961,98.886
40.4961,98.8831
40.5961,98.8803
40.6962,98.8774
40.7961,98.8745
40.8961,98.8716
40.9961,98.8688
41.0961,98.8659
41.1961,98.863
41.2961,98.8601
41.3961,98.8572
41.4961,98.8544
41.5961,98.8515
41.6962,98.8486
41.7961,98.8457
41.8961,98.8429
41.9961,98.84
42.0962,98.8371
42.1961,98.8342
42.2961,98.8314
42.3961,98.8285
42.4961,98.8256
42.5961,98.8227
42.6961,98.8199
42.7961,98.817
42.8962,98.8141
42.9961,98.8112
43.0961,98.8084
43.1962,98.8055
43.2961,98.8026
43.3961,98.7997
43.4962,98.7969
43.5961,98.794
43.6961,98.7911
43.7962,98.7882
43.8961,98.7853
43.9961,98.7825
44.0961,98.7796
44.1961,98.7767
44.2961,98.7738
44.3962,98.771
44.4961,98.7681
44.5961,98.7652
44.6962,98.7623
44.7962,98.7595
44.8961,98.7566
44.9961,98.7537
45.0961,98.7508
45.1961,98.748
45.2961,98.7451
45.3961,98.7422
45.4961,98.7393
45.5961,98.7365
45.6961,98.7336
45.7961,98.7307
45.8962,98.7278
45.9961,98.725
46.0961,98.7221
46.1962,98.7193
46.2961,98.7165
46.3961,98.7135
46.4961,98.7106
46.5961,98.7077
46.6961,98.7048
46.7961,98.702
46.8962,98.6991
46.9961,98.6963
47.0962,98.6935
47.1962,98.6906
47.2962,98.6877
47.3962,98.6848
47.4962,98.682
47.5962,98.6791
47.6962,98.6762
47.7962,98.6733
47.8962,98.6705
47.9962,98.6676
48.0961,98.6647
48.1962,98.6618
48.2962,98.659
48.3962,98.6561
48.4962,98.6532
48.5962,98.6503
48.6962,98.6475
48.7962,98.6446
48.8962,98.6417
48.9962,98.6388
49.0961,98.6359
49.1962,98.6331
49.2961,98.6302
49.3962,98.6273
49.4961,98.6244
49.5962,98.6216
49.6962,98.6187
49.7961,98.6158
49.8962,98.6129
49.9962,98.6101
50.0961,98.6072
50.1962,98.6043
50.2962,98.6014
50.3962,98.5986
50.4962,98.5957
50.5962,98.5928
50.6962,98.5899
50.7962,98.5871
50.8962,98.5842
50.9962,98.5813
51.0962,98.5784
51.1962,98.5755
51.2962,98.5727
51.3962,98.5698
51.4962,98.5669
51.5962,98.564
51.6962,98.5612
51.7962,98.5583
51.8962,98.5554
51.9962,98.5525
52.0962,98.5497
52.1962,98.5468
52.2961,98.5439
52.3961,98.541
52.4962,98.5382
52.5963,98.5353
52.6962,98.5324
52.7962,98.5295
52.8962,98.5267
52.9962,98.5238
53.0962,98.5209
53.1962,98.518
53.2962,98.5152
53.3962,98.5123
53.4962,98.5094
53.5962,98.5065
53.6961,98.5037
53.7962,98.5008
53.8962,98.4979
53.9962,98.495
