第0世代
f1,f2,time_count
116.984,11.5624,3
106.563,21.8338,4
109.944,16.2532,3
109.679,20.698,3
112.969,12.7915,3
112.977,11.5671,2

第1世代
f1,f2,time_count
122.578,11.5601,2
106.563,21.8338,4
106.739,20.4291,4
108.606,16.7806,3
116.984,11.5624,3
109.74,15.9939,2
110.785,14.8021,2
111.782,14.1557,3
112.977,11.5671,2
115.353,11.5645,3
112.477,12.8655,2
112.969,12.7915,3

第2世代
f1,f2,time_count
122.578,11.5601,2
104.465,22.7461,1
115.787,11.5624,3
122.578,11.5601,2
108.606,16.7806,3
106.052,21.2065,4
107.234,18.8429,4
112.977,11.5671,2
106.739,20.4291,4
111.79,13.6506,2
106.881,19.2625,4
115.353,11.5645,3
112.477,12.8655,2
110.179,15.4967,2
109.593,16.163,2
110.409,14.7161,3
112.969,12.7915,3
110.932,14.633,2
111.366,14.1337,2
109.856,15.8631,2
111.285,14.2281,2
112.969,12.7915,3
109.74,15.9939,2
109.74,15.9939,2

第3世代
f1,f2,time_count
120.398,11.5601,3
104.465,22.7461,1
104.465,22.7461,1
115.689,11.5607,2
104.631,20.3476,1
108.219,16.7325,2
107.477,18.5838,2
109.735,14.998,2
106.027,20.2431,2
110.386,14.253,2
112.141,12.7382,3
111.79,13.6506,2
112.325,12.0374,2
113.992,11.5624,2
106.608,19.58,2
109.09,16.2389,3
109.618,16.123,4
112.977,11.5671,2
106.881,19.2625,4
111.131,13.8932,3
113.336,11.5658,2
111.131,13.8932,3
107.234,18.8429,4
109.593,16.163,2
107.391,18.687,2
107.234,18.8429,4
107.442,18.6267,2

第4世代
f1,f2,time_count
116.634,11.5601,2
104.465,22.7461,1
104.465,22.7461,1
104.631,20.3476,1
108.123,17.8421,2
106.932,18.2094,2
114.497,11.5607,2
109.09,16.2389,3
111.631,13.4842,3
106.881,19.2625,4
109.434,15.8345,3
106.027,20.2431,2
109.735,14.998,2
110.745,13.843,2
110.24,14.4205,2
108.219,16.7325,2
112.121,12.7739,3
108.219,16.7325,2
106.563,19.6333,2
111.038,13.508,2
109.588,15.1763,2
106.027,20.2431,2
112.977,11.5671,2
112.472,11.8699,2
113.336,11.5658,2
112.325,12.0374,2
112.141,12.7382,3
106.608,19.58,2
113.992,11.5624,2
