第0世代
f1,f2,time_count
118.785,11.5601,2
105.245,21.1372,2
113.391,11.82,2
109.747,14.4947,1
110.679,13.9181,2
108.479,17.9305,3
106.351,19.8683,2
108.085,18.3842,3
115.29,11.5685,2
117.881,11.5648,2

第1世代
f1,f2,time_count
117.775,11.5601,2
103.656,22.4581,1
107.369,17.2156,1
105.245,21.1372,2
106.432,19.7781,2
109.492,16.2794,2
110.679,13.9181,2
111.263,12.7622,1
108.469,16.9345,3
112.287,12.573,3
109.747,14.4947,1
113.598,11.5858,2
115.982,11.5645,2
112.853,11.9211,3
117.381,11.5607,2
105.75,20.5597,2
115.29,11.5685,2
109.747,14.4947,1
105.942,20.3352,2
106.351,19.8683,2
113.391,11.82,2
115.29,11.5685,2
109.747,14.4947,1

第2世代
f1,f2,time_count
117.775,11.5601,2
103.656,22.4581,1
105.348,19.5255,1
108.737,15.6497,1
115.507,11.5607,2
105.063,21.3432,2
106.426,18.7826,2
107.369,17.2156,1
106.932,18.2051,2
105.245,21.1372,2
109.747,14.4947,1
117.775,11.5601,2
112.853,11.9211,3
111.263,12.7622,1
110.679,13.9181,2
108.469,16.9345,3
108.717,16.6574,3
110.679,13.9181,2
109.747,14.4947,1
114.068,11.563,2
111.768,12.1847,1
111.768,12.1847,1
111.263,12.7622,1
113.391,11.82,2
113.553,11.6332,2
113.876,11.5658,2
113.598,11.5858,2
113.391,11.82,2
109.747,14.4947,1
109.747,14.4947,1
109.747,14.4947,1
109.747,14.4947,1
109.747,14.4947,1

第3世代
f1,f2,time_count
116.26,11.5601,2
103.656,21.459,1
112.83,11.5648,2
108.055,16.4284,1
110.252,13.9172,1
106.864,17.793,1
111.169,13.3599,2
105.245,21.1372,2
115.507,11.5607,2
105.348,19.5255,1
105.348,19.5255,1
106.426,18.7826,2
111.768,12.1847,1
106.426,18.7826,2
107.55,17.0059,1
108.737,15.6497,1
105.063,21.3432,2
114.068,11.563,2
111.263,12.7622,1
109.242,15.0722,1
108.737,15.6497,1
111.768,12.1847,1
109.735,14.9989,2
107.222,17.3822,1
114.068,11.563,2
107.369,17.2156,1
111.263,12.7622,1
109.747,14.4947,1
109.747,14.4947,1
109.242,15.0722,1
109.747,14.4947,1
