第0世代
f1,f2,time_count
118.075,11.5601,3
106.783,33.0894,1
108.461,19.7569,4
109.851,15.8802,2
113.444,14.018,3
113.78,11.5615,2

第1世代
f1,f2,time_count
118.075,11.5601,3
118.075,11.5601,3
105.596,32.8982,1
108.461,24.1806,4
107.288,32.5119,1
113.78,11.5615,2
108.461,19.7569,4
109.644,19.6089,4
110.999,15.0453,3
109.851,15.8802,2
112.04,13.8508,3
112.588,12.7371,2
112.911,11.5671,2
109.851,15.8802,2
108.461,19.7569,4
118.075,11.5601,3

第2世代
f1,f2,time_count
104.081,34.6307,1
118.075,11.5601,3
108.421,21.0064,4
105.596,31.8992,1
113.78,11.5615,2
118.075,11.5601,3
109.563,16.2006,2
108.461,19.7569,4
104.507,32.0795,2
111.043,14.5156,2
110.84,15.7169,4
112.04,13.8508,3
112.04,13.8508,3
112.588,12.7371,2
105.224,31.9195,2
109.856,15.8747,2
112.588,12.7371,2
112.911,11.5671,2
112.911,11.5671,2
108.461,19.7569,4
110.999,15.0453,3
109.851,15.8802,2
105.596,31.8992,1
110.999,15.0453,3
109.851,15.8802,2
109.851,15.8802,2
109.851,15.8802,2
108.461,19.7569,4
118.075,11.5601,3
118.075,11.5601,3
118.075,11.5601,3

第3世代
f1,f2,time_count
113.232,11.5601,3
104.081,33.6317,1
104.593,21.8813,2
104.507,32.0795,2
106.608,19.58,2
107.28,18.8071,2
107.714,17.3089,2
109.803,15.4072,3
112.083,13.3146,2
108.659,16.242,2
108.608,17.2862,4
110.999,15.0453,3
111.038,13.522,2
109.563,16.2006,2
112.406,11.944,2
112.194,12.1876,2
111.017,14.5129,4
112.911,11.5671,2
111.038,13.522,2
109.674,16.078,2
112.911,11.5671,2
110.999,15.0453,3
109.653,16.0788,4
111.038,13.522,2
112.911,11.5671,2
112.911,11.5671,2
112.911,11.5671,2

第4世代
f1,f2,time_count
104.081,33.6317,1
113.232,11.5601,3
104.593,21.8813,2
104.507,32.0795,2
106.608,19.58,2
112.04,12.8546,3
111.038,13.5189,2
110.533,14.0995,2
107.714,17.3089,2
109.164,15.6645,2
106.932,18.2051,2
109.815,14.9076,2
107.429,18.1272,3
108.608,17.2862,4
104.507,32.0795,2
112.406,11.944,2
110.994,14.0462,3
109.803,15.4072,3
108.659,16.242,2
112.911,11.5818,2
108.616,16.7662,3
112.179,12.2049,2
112.911,11.5671,2
112.194,12.1876,2
108.659,16.242,2
109.803,15.4072,3
112.194,12.1876,2
112.911,11.5671,2
112.911,11.5671,2
112.911,11.5671,2
112.911,11.5671,2
112.911,11.5671,2
112.911,11.5671,2
112.911,11.5671,2

第5世代
f1,f2,time_count
113.232,11.5601,3
104.081,33.6317,1
104.081,33.6317,1
104.229,22.3,2
105.745,20.5632,2
104.593,21.8813,2
107.714,17.3089,2
111.674,12.7804,2
109.815,14.9076,2
107.144,17.9625,2
108.154,16.8065,2
110.533,14.0995,2
112.406,11.944,2
111.038,13.5189,2
106.608,19.58,2
106.932,18.2051,2
109.164,15.6645,2
109.803,15.4072,3
108.659,16.242,2
111.901,12.5237,2
106.533,19.663,2
112.911,11.5818,2
106.108,20.1533,2
109.164,15.6645,2
104.507,21.977,2
106.022,20.2445,2
110.533,14.0995,2
110.994,14.0462,3
108.616,16.7662,3
112.179,12.2049,2
112.911,11.5658,2
113.232,11.5601,3
112.194,12.1876,2
106.932,18.2051,2
110.994,14.0462,3
111.038,13.5189,2
108.616,16.7662,3
108.659,16.242,2
109.803,15.4072,3
104.593,21.8813,2
106.088,20.1694,2
106.608,19.58,2
106.103,20.1621,2
112.179,12.2049,2
112.194,12.1876,2
112.194,12.1876,2
112.911,11.5671,2
112.911,11.5671,2
112.911,11.5671,2
112.911,11.5671,2
112.911,11.5671,2
110.994,14.0462,3
112.911,11.5671,2
112.911,11.5671,2
110.533,14.0995,2
104.593,21.8813,2
112.911,11.5671,2
112.911,11.5671,2
112.911,11.5671,2
109.164,15.6645,2
112.911,11.5671,2
108.659,16.242,2
109.164,15.6645,2
112.911,11.5671,2
112.911,11.5671,2
112.911,11.5671,2
112.911,11.5671,2
112.911,11.5671,2
112.911,11.5671,2
112.911,11.5671,2
108.616,16.7662,3
108.616,16.7662,3
112.911,11.5671,2
108.659,16.242,2

第6世代
f1,f2,time_count
104.081,33.6317,1
104.081,33.6317,1
113.232,11.5601,3
104.229,22.3,2
105.24,21.1433,2
105.694,19.6189,2
105.416,19.9419,2
110.489,14.6237,3
109.815,14.9076,2
108.659,16.2389,2
104.593,21.8813,2
106.593,19.5919,2
109.164,15.6645,2
107.356,17.7212,2
106.79,19.3673,2
109.803,15.4072,3
111.543,12.9445,2
111.169,13.3599,2
112.406,11.944,2
112.911,11.5818,2
108.154,16.8065,2
106.851,18.2987,2
107.714,17.3089,2
109.164,15.6645,2
110.533,14.0995,2
110.994,14.0462,3
108.154,16.8065,2
108.616,16.7662,3
104.507,21.977,2
111.901,12.5237,2
112.179,12.2049,2
