第0世代
f1,f2,time_count
118.742,11.5601,3
105.27,20.104,2
109.017,15.8212,2
110.957,13.5996,2
113.085,11.6597,3
110.494,14.6231,3
116.878,11.5607,3
113.634,11.5634,2

第1世代
f1,f2,time_count
118.742,11.5601,3
105.27,20.104,2
105.27,20.104,2
108.512,16.3987,2
115.623,11.5607,2
110.957,13.5996,2
110.245,15.4191,2
112.939,12.8332,3
109.017,15.8212,2
111.893,13.0239,3
113.297,11.5634,3
113.085,11.6597,3
110.494,14.6231,3
110.494,14.6231,3
110.494,14.6231,3

第2世代
f1,f2,time_count
104.214,28.2558,2
115.853,11.5601,3
105.27,20.104,2
108.512,16.3987,2
110.957,13.5996,2
106.967,19.1646,2
107.502,17.5537,2
105.775,19.5265,2
114.613,11.5624,2
111.893,13.0239,3
109.017,15.8212,2
107.144,17.9614,2
112.247,12.6176,3
113.085,11.6597,3
113.297,11.5634,3
109.808,15.41,3
110.494,14.6231,3
109.772,15.4509,3
115.623,11.5607,2
105.27,20.104,2
110.494,14.6231,3
112.217,12.6504,3
110.494,14.6231,3
113.085,11.6597,3
113.297,11.5634,3
115.623,11.5607,2
110.494,14.6231,3

第3世代
f1,f2,time_count
114.666,11.5601,3
104.214,28.2558,2
104.588,21.8846,2
105.775,19.5265,2
106.919,18.7075,3
104.977,20.4412,2
108.007,16.9762,2
108.512,16.3987,2
111.893,13.0239,3
114.272,11.5615,3
109.881,14.8337,2
110.957,13.5996,2
110.891,13.6787,2
112.472,11.8671,2
112.911,11.5658,2
113.297,11.5634,3
105.27,20.104,2
109.522,15.2437,2
109.376,15.4112,2
109.017,15.8212,2
107.502,17.5537,2
110.494,14.6231,3
107.502,17.5537,2
112.393,12.4464,3
107.144,17.9614,2
109.017,15.8212,2
107.144,17.9614,2
110.494,14.6231,3
112.01,12.8906,3
105.27,20.104,2
110.494,14.6231,3
113.297,11.5634,3
112.217,12.6504,3
112.247,12.6176,3
110.957,13.5996,2
112.222,12.6472,3
110.494,14.6231,3
110.494,14.6231,3
110.494,14.6231,3
105.27,20.104,2
113.297,11.5634,3

第4世代
f1,f2,time_count
114.338,11.5601,3
104.214,28.2558,2
104.588,21.8846,2
106.28,18.949,2
111.396,13.1012,2
108.512,16.3987,2
104.588,21.8846,2
104.977,20.4412,2
110.818,14.2577,3
110.24,14.4237,2
108.007,16.9762,2
109.881,14.8337,2
108.434,16.975,3
