第0世代
f1,f2,time_count
114.967,11.5658,2
105.083,21.322,2
109.527,16.2381,2
108.585,17.8067,3
113.098,12.1549,2
113.621,12.0446,3

第1世代
f1,f2,time_count
114.813,11.5615,3
105.083,21.322,2
105.083,21.322,2
108.585,17.8067,3
109.772,15.4509,3
111.929,13.9845,3
109.527,16.2381,2
112.858,13.917,5
113.621,12.0446,3
113.093,12.1578,2
113.098,12.1549,2
113.098,12.1549,2

第2世代
f1,f2,time_count
105.078,21.3267,2
114.108,11.5601,2
106.742,18.9159,3
108.585,17.8067,3
105.083,21.322,2
109.772,15.4509,3
109.272,17.0275,3
112.434,13.407,3
110.732,14.3463,3
109.527,16.2381,2
112.8,12.4956,2
111.419,13.5629,3
113.598,11.5803,2
113.098,12.1549,2
111.242,13.7711,3
110.959,14.0919,3
112.982,12.288,2
111.065,13.9696,3
113.598,11.5803,2
110.732,14.3463,3
113.093,12.1578,2
105.083,21.322,2
113.093,12.1578,2
113.098,12.1549,2
113.093,12.1578,2
113.093,12.1578,2
113.098,12.1549,2
105.083,21.322,2

第3世代
f1,f2,time_count
114.108,11.5601,2
105.048,42.1039,2
105.078,21.3267,2
106.742,18.9159,3
108.353,17.0674,3
106.093,20.167,2
112.472,11.8699,2
105.555,20.2768,3
113.27,11.563,2
111.419,13.5629,3
109.772,15.4509,3
110.282,14.8692,3
109.022,16.8156,2
112.977,11.5648,2
111.901,12.5197,2
105.083,21.322,2
111.901,12.5197,2
109.527,16.2381,2
110.459,14.6694,3
108.841,17.0203,2
109.674,16.0684,2
111.242,13.7688,3
111.065,13.9696,3
110.732,14.3463,3
110.959,14.0919,3
110.732,14.3463,3
108.846,17.0188,2
109.527,16.2381,2
110.959,14.0919,3
105.083,21.322,2
105.078,21.3267,2
109.527,16.2381,2
110.732,14.3463,3
105.083,21.322,2
105.083,21.322,2

第4世代
f1,f2,time_count
104.361,40.316,2
114.108,11.5601,2
105.078,21.3267,2
106.639,18.5389,2
107.929,17.5568,3
106.265,18.9686,2
105.555,20.2768,3
105.828,19.9538,3
111.419,13.5629,3
109.267,16.0284,3
110.533,14.0875,2
113.78,11.5615,2
105.083,21.322,2
113.27,11.563,2
112.472,11.8699,2
108.858,16.4888,3
111.901,12.5197,2
109.55,15.7007,3
112.977,11.5648,2
112.472,11.8699,2
111.065,13.9696,3
109.904,15.2954,3
111.901,12.5197,2
110.196,14.9604,3
108.358,17.0663,3
108.841,17.0203,2
108.176,17.2704,3
110.454,14.6694,3
111.901,12.5197,2
108.03,17.4379,3
114.108,11.5601,2
109.772,15.4509,3
112.977,11.5648,2
108.353,17.0674,3
111.242,13.7688,3
111.237,13.7711,3
110.378,14.7564,3
111.065,13.9696,3
108.846,17.0188,2
109.777,15.4467,3
110.282,14.8692,3
110.282,14.8692,3
105.078,21.3267,2
105.083,21.322,2
111.242,13.7688,3
108.841,17.0203,2
114.108,11.5601,2
114.108,11.5601,2
105.078,21.3267,2
105.083,21.322,2
105.083,21.322,2
105.083,21.322,2
105.083,21.322,2
105.083,21.322,2
105.083,21.322,2
105.083,21.322,2
105.083,21.322,2
112.977,11.5648,2
111.901,12.5197,2

第5世代
f1,f2,time_count
104.361,40.316,2
104.361,40.316,2
114.108,11.5601,2
104.578,21.8995,2
106.77,18.3911,2
105.828,19.9538,3
107.785,18.2305,2
110.533,14.0847,2
113.444,11.5615,3
111.646,13.3084,3
105.469,20.3638,3
112.434,12.4046,3
106.265,18.9686,2
109.55,15.7007,3
108.762,16.6059,3
