第0世代
f1,f2,time_count
117.644,11.5615,2
106.775,32.0416,2
108.871,20.9882,2
111.189,14.3373,2
107.831,24.794,2
113.259,12.9653,4

第1世代
f1,f2,time_count
117.644,11.5615,2
106.775,32.0416,2
107.831,24.794,2
108.871,20.9882,2
117.388,11.5645,3
109.74,18.4512,2
113.259,12.9653,4
110.841,16.4922,2
112.235,13.1483,2
111.189,14.3373,2
113.259,12.9653,4
111.552,13.9109,4

第2世代
f1,f2,time_count
120.704,11.5601,2
105.214,32.8586,2
107.002,21.5812,2
106.775,32.0416,2
114.76,11.5615,2
108.871,20.9882,2
109.649,18.0488,2
109.82,15.9084,2
113.254,12.9653,4
111.189,14.3373,2
112.235,13.1483,2
111.552,13.9109,4
106.775,32.0416,2

第3世代
f1,f2,time_count
118.757,11.5601,3
105.078,36.5275,2
106.775,32.0416,2
107.002,21.5812,2
114.76,11.5615,2
105.214,32.8586,2
108.057,19.2367,4
107.55,20.2352,3
113.123,11.563,2
110.179,15.4941,2
111.025,14.0338,3
106.093,32.8232,2
108.634,17.2675,2
112.896,12.3812,4
111.184,13.3415,2
109.492,16.2771,2
114.76,11.5615,2
108.81,17.0565,2
107.002,21.5812,2
112.235,13.1483,2
106.775,32.0416,2
112.235,13.1483,2
109.82,15.9084,2
109.82,15.9084,2
106.775,32.0416,2

第4世代
f1,f2,time_count
118.757,11.5601,3
104.573,37.105,2
104.573,37.105,2
105.578,22.9688,2
105.214,32.8586,2
113.926,11.5615,2
105.078,36.5275,2
109.815,14.914,2
106.022,20.2456,2
105.214,32.8586,2
106.79,19.3665,2
110.679,13.919,2
108.457,18.6909,2
108.057,19.2367,4
113.123,11.563,2
111.184,13.3415,2
106.285,19.9509,2
112.235,13.1483,2
109.315,16.4859,2
108.634,17.2675,2
109.492,16.2771,2
112.744,12.5518,4
111.038,13.5144,2
108.81,17.0565,2
112.376,12.9796,2
112.896,12.3812,4
108.057,19.2367,4
109.492,16.2771,2
108.634,17.2675,2
108.81,17.0565,2
112.896,12.3812,4
112.265,13.1072,2
112.235,13.1483,2
112.235,13.1483,2

第5世代
f1,f2,time_count
118.757,11.5601,3
104.573,37.105,2
104.573,37.105,2
105.578,22.9688,2
105.033,32.3798,2
113.926,11.5615,2
104.578,34.5557,2
106.022,20.2456,2
109.815,14.914,2
110.679,13.919,2
108.482,17.4312,2
106.79,19.3665,2
107.437,17.634,2
112.057,13.3334,4
107.361,18.7147,2
109.51,15.7663,3
107.113,19.0046,2
112.896,12.3788,4
106.285,19.9509,2
111.184,13.3415,2
108.81,17.0565,2
109.315,16.4859,2
113.123,11.563,2
113.926,11.5615,2
109.815,14.914,2
113.123,11.563,2
107.437,17.634,2
112.593,12.7338,2
111.038,13.5144,2
110.679,13.919,2
112.376,12.9796,2
112.744,12.5518,4
109.492,16.2771,2
106.255,19.9858,2
108.699,17.1863,2
109.315,16.4859,2
112.229,13.1525,2
111.184,13.3415,2
111.038,13.5144,2
112.265,13.1072,2
108.634,17.2675,2
108.81,17.0565,2
109.492,16.2771,2
108.634,17.2675,2
108.634,17.2675,2
112.235,13.1483,2
112.235,13.1483,2
104.573,37.105,2
112.235,13.1483,2
113.926,11.5615,2
113.926,11.5615,2
104.573,37.105,2
112.235,13.1483,2
112.235,13.1483,2
108.634,17.2675,2
108.634,17.2675,2
108.634,17.2675,2
108.81,17.0565,2
108.81,17.0565,2
108.81,17.0565,2
109.315,16.4859,2
111.184,13.3415,2

第6世代
f1,f2,time_count
118.757,11.5601,3
104.068,37.6824,2
105.573,21.9919,2
105.033,32.3798,2
118.757,11.5601,3
113.926,11.5615,2
105.921,19.3664,2
104.578,34.5557,2
104.073,35.1331,2
108.3,16.639,2
111.543,12.9369,2
109.191,16.1107,3
105.033,32.3798,2
110.679,13.919,2
109.815,14.914,2
107.113,19.0046,2
112.593,12.7338,2
107.795,17.2165,2
113.926,11.5615,2
113.123,11.563,2
109.51,15.7663,3
109.815,14.914,2
113.058,11.5648,2
107.361,18.7147,2
107.437,17.634,2
112.896,12.3788,4
111.184,13.3415,2
111.038,13.5144,2
109.51,15.7663,3
107.714,17.3099,2
107.502,17.5514,2
107.113,19.0046,2
107.361,18.7147,2
110.679,13.919,2
112.744,12.5518,4
112.891,12.3844,4
111.184,13.3415,2
111.038,13.5144,2
112.593,12.7338,2
112.735,12.5696,2
110.679,13.919,2
107.437,17.634,2
113.123,11.563,2
107.437,17.634,2
112.74,12.5663,2
112.735,12.5696,2
107.437,17.634,2
107.437,17.634,2
107.437,17.634,2
107.437,17.634,2
111.184,13.3415,2
111.184,13.3415,2
111.184,13.3415,2
113.926,11.5615,2
110.679,13.919,2
113.926,11.5615,2
113.926,11.5615,2
105.033,32.3798,2
113.123,11.563,2
113.123,11.563,2
110.679,13.919,2
111.038,13.5144,2

第7世代
f1,f2,time_count
118.757,11.5601,3
104.068,37.6824,2
105.093,21.3146,2
105.033,32.3798,2
113.78,11.5615,2
118.757,11.5601,3
104.073,35.1331,2
106.704,18.4649,2
111.543,12.9369,2
104.578,34.5557,2
105.033,32.3798,2
109.31,15.4915,2
108.805,16.069,2
110.679,13.919,2
109.815,14.914,2
106.28,18.9564,2
105.78,20.5284,2
112.593,12.7338,2
105.921,19.3664,2
107.795,17.2165,2
108.3,16.639,2
109.815,14.914,2
104.578,34.5557,2
108.3,16.639,2
105.846,20.448,2
107.437,17.634,2
113.123,11.563,2
112.618,11.6997,2
112.593,12.7338,2
107.437,17.634,2
112.618,11.6997,2
107.714,17.3099,2
107.502,17.5514,2
113.058,11.5648,2
