第0世代
f1,f2,time_count
117.644,11.5615,2
106.775,32.0416,2
108.871,20.9882,2
111.189,14.3373,2
107.831,24.794,2
113.259,12.9653,4

第1世代
f1,f2,time_count
117.644,11.5615,2
104.214,33.7075,2
104.947,21.48,2
108.871,20.9882,2
109.997,15.6996,2
111.189,14.3373,2
112.229,13.1525,2
116.447,11.5648,2
114.441,11.5697,4
113.254,11.9712,4
113.308,11.5778,3
108.871,20.9882,2
108.871,20.9882,2
108.871,20.9882,2

第2世代
f1,f2,time_count
117.644,11.5615,2
104.214,33.7075,2
104.654,21.8149,2
106.639,18.5444,2
107.977,18.0196,2
104.947,21.48,2
109.997,15.6996,2
115.26,11.5648,2
117.644,11.5615,2
110.015,15.1888,3
111.189,14.3373,2
111.189,14.3373,2
112.749,12.5487,4
112.229,13.1525,2
113.254,11.9712,4
113.416,11.5702,2
114.441,11.5697,4
112.391,12.9563,4
112.229,13.1525,2
114.441,11.5697,4
113.308,11.5778,3
110.002,15.6964,2
109.997,15.6996,2

第3世代
f1,f2,time_count
104.154,22.3868,2
114.073,11.5607,2
106.639,18.5444,2
106.57,21.361,3
107.977,18.0196,2
108.512,16.4019,2
111.038,13.5127,2
109.164,15.6614,2
110.015,15.1888,3
112.749,12.5487,4
104.947,21.48,2
104.654,21.8149,2
113.254,11.9712,4
110.015,15.1888,3
111.184,13.3415,2
112.057,13.3303,4
112.391,12.9563,4
113.664,11.5671,2
104.947,21.48,2
113.308,11.5778,3
112.229,13.1525,2
112.391,12.9563,4
112.062,13.3253,4
112.229,13.1525,2
113.416,11.5702,2
113.416,11.5702,2
113.416,11.5702,2
113.416,11.5702,2

第4世代
f1,f2,time_count
104.154,22.3868,2
104.154,22.3868,2
114.073,11.5607,2
105.336,20.0343,2
108.512,16.4019,2
106.639,18.5444,2
109.164,15.6614,2
112.472,11.8712,2
107.977,18.0196,2
106.639,18.5444,2
107.977,18.0196,2
112.121,12.7771,3
104.947,21.48,2
104.654,21.8149,2
110.533,14.0902,2
110.015,15.1888,3
110.015,15.1888,3
113.308,11.5778,3
110.533,14.0902,2
111.038,13.5127,2
112.057,13.3278,4
111.184,13.3415,2
104.947,21.48,2
112.062,13.3253,4
113.664,11.5671,2
114.073,11.5607,2
113.313,11.5697,3
113.664,11.5671,2
111.184,13.3415,2
111.038,13.5127,2
112.062,13.3253,4
107.977,18.0196,2
112.062,13.3253,4
104.947,21.48,2
104.947,21.48,2
113.664,11.5671,2

第5世代
f1,f2,time_count
104.149,22.3924,2
114.073,11.5607,2
111.689,12.764,2
112.472,11.8712,2
108.512,16.4019,2
107.575,17.9637,3
105.159,21.2374,2
105.336,20.0343,2
106.134,19.1219,2
110.452,14.1812,2
106.785,18.3814,2
108.305,17.634,2
110.015,15.1888,3
108.482,17.4421,2
109.164,15.6614,2
110.015,15.1888,3
105.336,20.0343,2
104.654,21.8149,2
106.134,19.1219,2
111.038,13.5127,2
110.533,14.0902,2
104.154,22.3868,2
109.164,15.6614,2
113.313,11.5697,3
112.911,11.5702,2
106.639,18.5444,2
111.184,13.3415,2
104.659,21.8093,2
111.184,13.3415,2
106.639,18.5444,2
104.947,21.48,2
109.164,15.6614,2
114.068,11.5638,2
113.664,11.5671,2
112.911,11.5702,2
113.664,11.5671,2
111.038,13.5127,2
104.947,21.48,2
104.947,21.48,2
110.533,14.0902,2
106.639,18.5444,2
111.184,13.3415,2
104.659,21.8093,2
104.154,22.3868,2
114.073,11.5607,2
113.664,11.5671,2
114.073,11.5607,2
106.639,18.5444,2
104.154,22.3868,2
111.184,13.3415,2
111.038,13.5127,2
104.659,21.8093,2
111.038,13.5127,2
111.038,13.5127,2
104.947,21.48,2
104.947,21.48,2
104.947,21.48,2
104.947,21.48,2
104.947,21.48,2
104.947,21.48,2
110.533,14.0902,2
110.015,15.1888,3
114.073,11.5607,2
110.015,15.1888,3
105.336,20.0343,2
105.336,20.0343,2
113.664,11.5671,2
113.664,11.5671,2

第6世代
f1,f2,time_count
104.149,22.3924,2
114.073,11.5607,2
107.649,17.3939,2
108.512,16.4019,2
105.841,19.4568,2
111.689,12.764,2
112.472,11.8712,2
110.027,14.6677,2
108.659,16.2389,2
109.954,15.2437,3
105.164,21.2318,2
105.336,20.0343,2
107.144,17.9669,2
104.654,21.8149,2
106.346,18.8793,2
111.543,12.9352,2
109.164,15.6614,2
105.336,20.0343,2
104.154,22.3868,2
110.452,14.1812,2
109.164,15.6614,2
106.785,18.3814,2
112.911,11.5702,2
112.472,11.8712,2
111.038,13.5127,2
110.533,14.0902,2
106.134,19.1219,2
107.575,17.9637,3
104.659,21.8093,2
110.015,15.1888,3
111.184,13.3415,2
110.533,14.0902,2
111.038,13.5127,2
106.639,18.5444,2
107.575,17.9637,3
106.134,19.1219,2
114.068,11.5638,2
113.664,11.5671,2
113.313,11.5697,3
112.911,11.5702,2
109.164,15.6614,2
111.184,13.3415,2
113.664,11.5671,2
113.313,11.5697,3
106.639,18.5444,2
111.689,12.764,2
104.947,21.48,2
106.785,18.3814,2
104.947,21.48,2
104.947,21.48,2
105.159,21.2374,2
105.159,21.2374,2
104.947,21.48,2
110.452,14.1812,2
111.038,13.5127,2
111.184,13.3415,2
106.639,18.5444,2
110.533,14.0902,2
110.015,15.1888,3
105.159,21.2374,2
104.154,22.3868,2
114.073,11.5607,2
104.659,21.8093,2
104.149,22.3924,2
104.149,22.3924,2
104.659,21.8093,2
105.336,20.0343,2
109.164,15.6614,2
104.659,21.8093,2
104.149,22.3924,2
105.336,20.0343,2
104.947,21.48,2
104.947,21.48,2
