Accumulated Time [min],Battery [%],Work Count [times]
1.37071,97.6071,0
1.37238,97.6042,0
1.37404,97.6013,0
1.37571,97.5984,0
1.37738,97.5956,0
1.37904,97.5927,0
1.38071,97.5898,0
1.38238,97.5869,0
1.38404,97.5842,0
1.38571,97.5813,0
1.38738,97.5785,0
1.38904,97.5756,0
1.39071,97.5727,0
1.39238,97.5698,0
1.39404,97.567,0
1.39571,97.5641,0
1.39738,97.5612,0
1.39904,97.5583,0
1.40071,97.5555,0
1.40238,97.5526,0
1.40405,97.5497,0
1.40571,97.5468,0
1.40738,97.5439,0
1.40904,97.5412,0
1.41071,97.5383,0
2.41185,95.8433,1
2.41185,95.8404,1
2.41185,95.8375,1
2.41185,95.8346,1
2.41185,95.8318,1
2.41186,95.8289,1
2.41186,95.826,1
2.41186,95.8231,1
2.41186,95.8203,1
2.41186,95.8174,1
2.41238,95.8145,1
2.41404,95.8116,1
2.41572,95.8088,1
2.41738,95.8059,1
2.41904,95.803,1
2.42071,95.8001,1
2.42238,95.7973,1
2.42404,95.7944,1
2.42571,95.7915,1
2.42738,95.7886,1
2.42905,95.7858,1
2.43071,95.7829,1
2.43238,95.78,1
2.43404,95.7771,1
2.43571,95.7744,1
2.43738,95.7715,1
2.43904,95.7689,1
2.44071,95.766,1
2.44238,95.7632,1
2.44405,95.7603,1
2.44571,95.7574,1
2.44738,95.7545,1
2.44904,95.7517,1
2.45071,95.7488,1
2.45238,95.7459,1
2.45405,95.743,1
2.45571,95.7402,1
2.45738,95.7373,1
2.45904,95.7344,1
2.46071,95.7315,1
2.46238,95.7287,1
2.46405,95.7258,1
2.46571,95.7229,1
2.46738,95.72,1
2.46904,95.7172,1
2.47071,95.7143,1
2.47238,95.7114,1
2.47405,95.7085,1
2.47571,95.7057,1
2.47738,95.7028,1
2.47904,95.6999,1
2.48071,95.697,1
2.48238,95.6942,1
2.48404,95.6913,1
2.48571,95.6884,1
2.48738,95.6858,1
2.48904,95.6829,1
2.49071,95.6801,1
2.49238,95.6772,1
2.49404,95.6743,1
2.49571,95.6714,1
2.49738,95.6686,1
2.49904,95.6657,1
2.50071,95.6628,1
2.50238,95.6599,1
2.50405,95.657,1
2.50571,95.6542,1
2.50738,95.6513,1
2.50905,95.6484,1
2.51071,95.6455,1
2.51238,95.6427,1
2.51404,95.6398,1
2.51571,95.6369,1
2.51738,95.634,1
2.51904,95.6312,1
