ex1
-----
f1,f2,first_soc,front
103.656,21.459,100,0
time
41.8
soc
71

result
time, 104.353
soc, 21.59
-----

ex2
-----
f1,f2,first_soc,front
111.25,13.2718,100,0
time
29.56,69.7898
soc
79,64

result
time, 111.696
soc, 13.34
-----
