ElapsedTime(s),Battery(%),ChargeRate(%/min),,Cc-speed [%/min],Cv-speed [%/min]
42.1982,84.9664,1.98,,,
42.2982,84.9697,1.98,,,
42.3982,84.9731,2.04,,,
42.4982,84.9764,1.98,,,
42.5982,84.9797,1.98,,,
42.6982,84.983,1.98,,,
42.7982,84.9863,1.98,,,
42.8982,84.9896,1.98,,,
42.9982,84.9929,1.98,,,
43.0982,84.9962,1.98,,,
43.1982,84.9995,1.98,,,
43.2982,85.0028,1.98,,,
43.3982,85.0061,1.98,,,
43.4982,85.0094,1.98,,,
43.5982,85.0128,2.04,,,
43.6982,85.0161,1.98,,,
43.7982,85.0194,1.98,,,
43.8982,85.0227,1.98,,,
43.9982,85.026,1.98,,,
44.0982,85.0293,1.98,,,
44.1982,85.0326,1.98,,,
44.2982,85.0359,1.98,,,
44.3982,85.0392,1.98,,,
44.4982,85.0425,1.98,,,
44.5982,85.0458,1.98,,,
44.6982,85.0491,1.98,,,
44.7982,85.0524,1.98,,,
44.8982,85.0557,1.98,,,
44.9982,85.0591,2.04,,,
45.0982,85.0624,1.98,,,
45.1982,85.0657,1.98,,,
45.2982,85.069,1.98,,,
45.3982,85.0723,1.98,,,
45.4982,85.0756,1.98,,,
45.5982,85.0789,1.98,,,
45.6982,85.0822,1.98,,,
45.7982,85.0855,1.98,,,
45.8982,85.0888,1.98,,,
45.9982,85.0921,1.98,,,
46.0982,85.0954,1.98,,,
46.1983,85.0987,1.98,,,
46.2982,85.102,1.98,,,
46.3982,85.1054,2.04,,,
46.4982,85.1087,1.98,,,
46.5982,85.112,1.98,,,
46.6982,85.1153,1.98,,,
46.7982,85.1186,1.98,,,
46.8982,85.1219,1.98,,,
46.9982,85.1252,1.98,,,
47.0982,85.1285,1.98,,,
47.1982,85.1318,1.98,,,
47.2982,85.1351,1.98,,,
47.3982,85.1384,1.98,,,
47.4982,85.1417,1.98,,,
47.5982,85.145,1.98,,,
47.6982,85.1484,2.04,,,
47.7982,85.1517,1.98,,,
47.8982,85.155,1.98,,,
47.9982,85.1583,1.98,,,
48.0982,85.1616,1.98,,,
48.1982,85.1649,1.98,,,
48.2982,85.1682,1.98,,,
48.3982,85.1715,1.98,,,
48.4982,85.1748,1.98,,,
48.5982,85.1781,1.98,,,
48.6982,85.1814,1.98,,,
48.7982,85.1847,1.98,,,
48.8982,85.188,1.98,,,
48.9982,85.1914,2.04,,,
49.0982,85.1947,1.98,,,
49.1982,85.198,1.98,,,
49.2982,85.2013,1.98,,,
49.3982,85.2046,1.98,,,
49.4982,85.2079,1.98,,,
49.5982,85.2112,1.98,,,
49.6982,85.2145,1.98,,,
49.7982,85.2178,1.98,,,
49.8982,85.2211,1.98,,,
49.9982,85.2244,1.98,,,
50.0982,85.2277,1.98,,,
50.1982,85.231,1.98,,,
50.2982,85.2344,2.04,,,
50.3982,85.2377,1.98,,,
50.4982,85.241,1.98,,,
50.5982,85.2443,1.98,,,
50.6982,85.2476,1.98,,,
50.7982,85.2509,1.98,,,
50.8982,85.2542,1.98,,,
50.9982,85.2575,1.98,,,
51.0982,85.2608,1.98,,,
51.1982,85.2641,1.98,,,
51.2982,85.2674,1.98,,,
51.3982,85.2707,1.98,,,
51.4982,85.274,1.98,,,
51.5982,85.2773,1.98,,,
51.6982,85.2807,2.04,,,
51.7982,85.284,1.98,,,
51.8982,85.2873,1.98,,,
51.9982,85.2906,1.98,,,
52.0982,85.2939,1.98,,,
52.1982,85.2972,1.98,,,
52.2982,85.3005,1.98,,,
52.3982,85.3038,1.98,,,
52.4982,85.3071,1.98,,,
52.5983,85.3104,1.98,,,
52.6982,85.3137,1.98,,,
52.7982,85.317,1.98,,,
52.8982,85.3203,1.98,,,
52.9982,85.3236,1.98,,,
53.0982,85.327,2.04,,,
53.1982,85.3303,1.98,,,
53.2982,85.3336,1.98,,,
53.3982,85.3369,1.98,,,
53.4982,85.3402,1.98,,,
53.5982,85.3435,1.98,,,
53.6982,85.3468,1.98,,,
53.7983,85.3501,1.98,,,
53.8982,85.3534,1.98,,,
53.9982,85.3567,1.98,,,
54.0982,85.36,1.98,,,
54.1982,85.3633,1.98,,,
54.2982,85.3666,1.98,,,
54.3982,85.37,2.04,,,
54.4982,85.3733,1.98,,,
54.5982,85.3766,1.98,,,
54.6982,85.3799,1.98,,,
54.7982,85.3832,1.98,,,
54.8982,85.3865,1.98,,,
54.9982,85.3898,1.98,,,
55.0982,85.3931,1.98,,,
55.1982,85.3964,1.98,,,
55.2982,85.3997,1.98,,,
55.3982,85.403,1.98,,,
55.4982,85.4063,1.98,,,
55.5982,85.4096,1.98,,,
55.6982,85.413,2.04,,,
55.7982,85.4163,1.98,,,
55.8982,85.4196,1.98,,,
55.9982,85.4229,1.98,,,
56.0982,85.4262,1.98,,,
56.1982,85.4295,1.98,,,
56.2982,85.4328,1.98,,,
56.3982,85.4361,1.98,,,
56.4982,85.4394,1.98,,,
56.5982,85.4427,1.98,,,
56.6982,85.446,1.98,,,
56.7982,85.4493,1.98,,,
56.8982,85.4526,1.98,,,
56.9982,85.4559,1.98,,,
57.0982,85.4593,2.04,,,
57.1982,85.4626,1.98,,,
57.2982,85.4659,1.98,,,
57.3982,85.4692,1.98,,,
57.4982,85.4725,1.98,,,
57.5982,85.4758,1.98,,,
57.6982,85.4791,1.98,,,
57.7983,85.4824,1.98,,,
57.8982,85.4857,1.98,,,
57.9982,85.489,1.98,,,
58.0982,85.4923,1.98,,,
58.1982,85.4956,1.98,,,
58.2982,85.4989,1.98,,,
58.3982,85.5023,2.04,,,
58.4982,85.5056,1.98,,,
58.5982,85.5089,1.98,,,
58.6982,85.5122,1.98,,,
58.7982,85.5155,1.98,,,
58.8982,85.5188,1.98,,,
58.9982,85.5221,1.98,,,
59.0982,85.5254,1.98,,,
59.1982,85.5287,1.98,,,
59.2982,85.532,1.98,,,
59.3982,85.5353,1.98,,,
59.4982,85.5386,1.98,,,
59.5982,85.5419,1.98,,,
59.6982,85.5453,2.04,,,
59.7982,85.5486,1.98,,,
59.8982,85.5519,1.98,,,
59.9982,85.5552,1.98,,,
60.0982,85.5585,1.98,,,
60.1982,85.5618,1.98,,,
60.2982,85.5651,1.98,,,
60.3982,85.5684,1.98,,,
60.4982,85.5717,1.98,,,
60.5982,85.575,1.98,,,
60.6982,85.5783,1.98,,,
60.7982,85.5816,1.98,,,
60.8982,85.5849,1.98,,,
60.9983,85.5883,2.04,,,
61.0982,85.5916,1.98,,,
61.1982,85.5949,1.98,,,
61.2982,85.5982,1.98,,,
61.3982,85.6015,1.98,,,
61.4982,85.6048,1.98,,,
61.5982,85.6081,1.98,,,
61.6982,85.6114,1.98,,,
61.7982,85.6147,1.98,,,
61.8982,85.618,1.98,,,
61.9982,85.6213,1.98,,,
62.0982,85.6246,1.98,,,
62.1982,85.6279,1.98,,,
62.2982,85.6312,1.98,,,
62.3982,85.6346,2.04,,,
62.4982,85.6379,1.98,,,
62.5982,85.6412,1.98,,,
62.6982,85.6445,1.98,,,
62.7982,85.6478,1.98,,,
62.8982,85.6511,1.98,,,
62.9982,85.6544,1.98,,,
63.0983,85.6577,1.98,,,
63.1982,85.661,1.98,,,
63.2982,85.6643,1.98,,,
63.3982,85.6676,1.98,,,
63.4982,85.6709,1.98,,,
63.5982,85.6742,1.98,,,
63.6982,85.6775,1.98,,,
63.7982,85.6809,2.04,,,
63.8982,85.6842,1.98,,,
63.9982,85.6875,1.98,,,
64.0982,85.6908,1.98,,,
64.1982,85.6941,1.98,,,
64.2982,85.6974,1.98,,,
64.3982,85.7007,1.98,,,
64.4983,85.704,1.98,,,
64.5983,85.7073,1.98,,,
64.6982,85.7106,1.98,,,
64.7983,85.7139,1.98,,,
64.8983,85.7172,1.98,,,
64.9983,85.7205,1.98,,,
65.0983,85.7239,2.04,,,
65.1983,85.7272,1.98,,,
65.2983,85.7305,1.98,,,
65.3983,85.7338,1.98,,,
65.4983,85.7371,1.98,,,
65.5983,85.7404,1.98,,,
65.6983,85.7437,1.98,,,
65.7983,85.747,1.98,,,
65.8983,85.7503,1.98,,,
65.9983,85.7536,1.98,,,
66.0983,85.7569,1.98,,,
66.1983,85.7602,1.98,,,
66.2983,85.7635,1.98,,,
66.3983,85.7669,2.04,,,
66.4983,85.7702,1.98,,,
66.5983,85.7735,1.98,,,
66.6984,85.7768,1.98,,,
66.7982,85.7801,1.98,,,
66.8982,85.7834,1.98,,,
66.9983,85.7867,1.98,,,
67.0982,85.79,1.98,,,
67.1983,85.7933,1.98,,,
67.2983,85.7966,1.98,,,
67.3983,85.7999,1.98,,,
67.4983,85.8032,1.98,,,
67.5983,85.8065,1.98,,,
67.6983,85.8098,1.98,,,
67.7983,85.8132,2.04,,,
67.8982,85.8165,1.98,,,
67.9982,85.8196,1.86,,,
68.0982,85.8229,1.98,,,
68.1983,85.8262,1.98,,,
68.2983,85.8295,1.98,,,
68.3983,85.8328,1.98,,,
68.4983,85.8361,1.98,,,
68.5983,85.8395,2.04,,,
68.6983,85.8428,1.98,,,
68.7983,85.8461,1.98,,,
68.8983,85.8494,1.98,,,
68.9983,85.8527,1.98,,,
69.0983,85.856,1.98,,,
69.1983,85.8593,1.98,,,
69.2983,85.8626,1.98,,,
69.3983,85.8659,1.98,,,
69.4983,85.8692,1.98,,,
69.5983,85.8725,1.98,,,
69.6983,85.8758,1.98,,,
69.7983,85.8791,1.98,,,
69.8983,85.8824,1.98,,,
69.9983,85.8858,2.04,,,
70.0983,85.8891,1.98,,,
70.1983,85.8924,1.98,,,
70.2983,85.8957,1.98,,,
70.3983,85.899,1.98,,,
70.4983,85.9023,1.98,,,
70.5983,85.9056,1.98,,,
70.6983,85.9089,1.98,,,
70.7983,85.9122,1.98,,,
70.8983,85.9155,1.98,,,
70.9982,85.9188,1.98,,,
71.0983,85.9221,1.98,,,
71.1983,85.9254,1.98,,,
71.2983,85.9287,1.98,,,
71.3983,85.9321,2.04,,,
71.4983,85.9354,1.98,,,
71.5983,85.9387,1.98,,,
71.6983,85.942,1.98,,,
71.7983,85.9453,1.98,,,
71.8982,85.9486,1.98,,,
71.9983,85.9519,1.98,,,
72.0983,85.9552,1.98,,,
72.1983,85.9585,1.98,,,
72.2983,85.9618,1.98,,,
72.3983,85.9651,1.98,,,
72.4983,85.9684,1.98,,,
72.5983,85.9718,2.04,,,
72.6983,85.9751,1.98,,,
72.7983,85.9784,1.98,,,
72.8983,85.9817,1.98,,,
72.9983,85.985,1.98,,,
73.0983,85.9883,1.98,,,
73.1983,85.9916,1.98,,,
73.2983,85.9949,1.98,,,
73.3983,85.9982,1.98,,,
73.4983,86.0015,1.98,,,
73.5983,86.0048,1.98,,,
73.6983,86.0081,1.98,,,
73.7983,86.0114,1.98,,,
73.8983,86.0148,2.04,,,
73.9983,86.0181,1.98,,,
74.0983,86.0214,1.98,,,
74.1983,86.0247,1.98,,,
74.2983,86.028,1.98,,,
74.3983,86.0313,1.98,,,
74.4983,86.0346,1.98,,,
74.5983,86.0379,1.98,,,
74.6983,86.0412,1.98,,,
74.7983,86.0445,1.98,,,
74.8983,86.0478,1.98,,,
74.9983,86.0511,1.98,,,
75.0983,86.0544,1.98,,,
75.1983,86.0577,1.98,,,
75.2983,86.061,1.98,,,
75.3983,86.0644,2.04,,,
75.4983,86.0677,1.98,,,
75.5983,86.071,1.98,,,
75.6983,86.0743,1.98,,,
75.7983,86.0776,1.98,,,
75.8983,86.0809,1.98,,,
75.9983,86.0842,1.98,,,
76.0983,86.0875,1.98,,,
76.1983,86.0908,1.98,,,
76.2983,86.0941,1.98,,,
76.3983,86.0974,1.98,,,
76.4983,86.1007,1.98,,,
76.5983,86.104,1.98,,,
76.6983,86.1074,2.04,,,
76.7983,86.1107,1.98,,,
76.8983,86.114,1.98,,,
76.9983,86.1173,1.98,,,
77.0983,86.1206,1.98,,,
77.1983,86.1239,1.98,,,
77.2983,86.1272,1.98,,,
77.3983,86.1305,1.98,,,
77.4983,86.1338,1.98,,,
77.5983,86.1371,1.98,,,
77.6983,86.1404,1.98,,,
77.7983,86.1437,1.98,,,
77.8983,86.147,1.98,,,
77.9983,86.1504,2.04,,,
78.0983,86.1537,1.98,,,
78.1983,86.157,1.98,,,
78.2983,86.1603,1.98,,,
