第0世代
f1,f2,first_soc,front
129.56,11.5624,100,0
time
36.36,78.4989,107.919
soc
71,51,57
f1,f2,first_soc,front
105.936,35.7112,100,0
time
36.36,51.6124,59.6002,71.0793
soc
42,25,24,40
f1,f2,first_soc,front
107.864,21.5389,100,0
time
39.08
soc
82
f1,f2,first_soc,front
117.376,11.5648,100,0
time
40.44,81.4043
soc
67,62
f1,f2,first_soc,front
108.232,16.2272,100,0
time
45.88
soc
73
f1,f2,first_soc,front
111.795,13.6448,100,0
time
44.52,72.8142
soc
51,58
f1,f2,first_soc,front
113.058,11.5747,100,0
time
24.12,55.0468
soc
70,77
f1,f2,first_soc,front
117.31,11.5702,100,0
time
29.56,64.2342
soc
68,76
f1,f2,first_soc,front
130.55,11.5671,100,1
time
35,56.7914,70.9683,101.789,107.153
soc
60,63,70,32,62
f1,f2,first_soc,front
109.058,24.3331,100,1
time
49.96,63.0409
soc
33,62
f1,f2,first_soc,front
109.477,19.6108,100,1
time
37.72,77.8603
soc
62,44
f1,f2,first_soc,front
119.681,11.5722,100,1
time
26.84,57.5807,90.5004
soc
73,67,61
f1,f2,first_soc,front
112.154,15.0116,100,1
time
44.52,73.514
soc
47,54
f1,f2,first_soc,front
113.391,11.8222,100,1
time
36.36,66.414
soc
74,80
f1,f2,first_soc,front
121.813,11.5747,100,2
time
24.12,49.8015,75.4378
soc
65,53,77
f1,f2,first_soc,front
111.07,28.3246,100,2
time
36.36,63.1526,80.7891
soc
46,37,51
f1,f2,first_soc,front
116.227,12.7454,100,2
time
44.52,55.9132,63.9992
soc
31,29,73
f1,f2,first_soc,front
115.977,21.6672,100,2
time
51.32,70.9882
soc
41,71
f1,f2,first_soc,front
113.132,23.7875,100,2
time
40.44
soc
86
f1,f2,first_soc,front
111.732,25.2198,100,2
time
10.52,49.2259
soc
87,78
f1,f2,first_soc,front
131.253,15.6312,100,3
time
36.36,59.6536,108.634
soc
66,83,62
f1,f2,first_soc,front
111.446,37.0021,100,3
time
49.96,56.4753,78.4016,99.2413
soc
20,39,36,25
f1,f2,first_soc,front
116.276,18.012,100,3
time
18.68,50.5995
soc
76,84
f1,f2,first_soc,front
115.472,29.7345,100,3
time
51.32,58.3619
soc
16,70
f1,f2,first_soc,front
116.027,29.2359,100,3
time
39.08
soc
90
f1,f2,first_soc,front
122.657,17.0068,100,3
time
40.44,45.8528,76.0281
soc
37,72,84
f1,f2,first_soc,front
125.59,16.346,100,3
time
35,43.7757,85.2507
soc
45,63,68
f1,f2,first_soc,front
129.921,16.5665,100,4
time
48.6,97.9055
soc
64,68
f1,f2,first_soc,front
111.454,39.3527,100,4
time
15.96,59.7658
soc
92,71
f1,f2,first_soc,front
117.308,32.6276,100,4
time
36.36,51.8435
soc
64,92
f1,f2,first_soc,front
117.595,22.3288,100,4
time
36.36,56.5474,83.7444
soc
41,58,71
f1,f2,first_soc,front
122.727,22.3199,100,4
time
10.52,51.6063,84.1436,96.371
soc
88,55,40,57
f1,f2,first_soc,front
123.586,17.5796,100,4
time
20.04,40.5528,82.8129
soc
83,81,67
f1,f2,first_soc,front
126.502,16.5912,100,4
time
45.88,82.1611
soc
51,73
f1,f2,first_soc,front
133.163,16.7364,100,5
time
44.52,60.4191,85.1446,109.554
soc
48,51,47,68
f1,f2,first_soc,front
114.909,42.952,100,5
time
24.12,76.7634
soc
95,63
f1,f2,first_soc,front
117.717,24.2185,100,5
time
52.68
soc
80
f1,f2,first_soc,front
117.109,41.3296,100,5
time
21.4,30.3633,86.5435
soc
77,96,49
f1,f2,first_soc,front
128.601,16.9919,100,5
time
41.8,64.3353,97.0705
soc
47,79,84
f1,f2,first_soc,front
124.833,24.1139,100,5
time
43.16,96.5282,102.286
soc
68,19,50
f1,f2,first_soc,front
125.808,19.1183,100,5
time
49.96,82.1569,107.201
soc
52,58,59
f1,f2,first_soc,front
125.713,22.8019,100,5
time
35,48.6314,67.9119
soc
60,63,87
f1,f2,first_soc,front
116.323,41.3465,100,5
time
1,34.7949,50.8087
soc
100,74,93
f1,f2,first_soc,front
130.71,18.9269,100,6
time
2.36,45.3529,71.6651,102.45
soc
100,53,66,75
f1,f2,first_soc,front
117.369,55.2443,100,6
time
9.16,44.1112
soc
95,91
f1,f2,first_soc,front
117.641,42.39,100,6
time
3.72,43.681
soc
100,90
f1,f2,first_soc,front
119.255,30.7782,100,6
time
40.44
soc
92
f1,f2,first_soc,front
126.155,22.9163,100,6
time
37.72,59.8304,83.1281,87.8338
soc
64,82,76,86
f1,f2,first_soc,front
127.797,19.1183,100,6
time
49.96,67.9363,99.5198
soc
40,65,70
f1,f2,first_soc,front
120.393,27.8099,100,6
time
26.84,61.5452,90.1222
soc
62,39,53
f1,f2,first_soc,front
122.839,24.4074,100,6
time
24.12,31.7716,53.3826,68.4411,77.8655
soc
67,80,77,80,88
f1,f2,first_soc,front
122.573,24.8488,100,6
time
21.4,65.5682
soc
74,77
f1,f2,first_soc,front
141.942,19.6099,100,7
time
18.68,38.0096,70.9248,110.769
soc
78,73,76,85
f1,f2,first_soc,front
118.313,56.1996,100,7
time
13.24,35.2891,78.4219
soc
97,98,56
f1,f2,first_soc,front
119.525,34.5247,100,7
time
26.84,54.9969
soc
82,92
f1,f2,first_soc,front
133.77,22.3205,100,7
time
10.52,53.6455,98.7238
soc
86,60,70
f1,f2,first_soc,front
123.083,24.7742,100,7
time
25.48,65.6035
soc
67,78
f1,f2,first_soc,front
120.613,29.1793,100,7
time
43.16
soc
91
f1,f2,first_soc,front
127.92,24.3866,100,7
time
40.44,72.0395,87.7315
soc
70,76,88
f1,f2,first_soc,front
132.678,24.3848,100,7
time
45.88,68.6007,98.9392
soc
43,78,88
f1,f2,first_soc,front
137.607,22.8019,100,8
time
35,70.1967,92.6079
soc
65,52,87
f1,f2,first_soc,front
118.927,64.2444,100,8
time
1,25.2749,45.5191
soc
100,88,100
f1,f2,first_soc,front
129.793,25.5594,100,8
time
49.96,76.2118,86.6679
soc
51,51,84
f1,f2,first_soc,front
119.936,47.4269,100,8
time
25.48,93.9374
soc
100,49
f1,f2,first_soc,front
124.337,25.6991,100,8
time
20.04,74.8941
soc
86,72
f1,f2,first_soc,front
119.807,63.1077,100,8
time
2.36,30.3929,54.2043
soc
100,89,95
f1,f2,first_soc,front
120.076,35.7091,100,8
time
6.44,63.7851
soc
95,70
f1,f2,first_soc,front
122.914,32.9881,100,8
time
35,62.3074
soc
79,94
f1,f2,first_soc,front
121.065,33.6547,100,8
time
2.36,18.1529,53.5996,70.4114,102.61
soc
100,90,75,79,41
f1,f2,first_soc,front
139.01,25.5042,100,9
time
13.24,34.2638,50.0307,94.1369,123.844
soc
84,75,77,66,77
f1,f2,first_soc,front
120.756,40.59,100,9
time
2.36,53.5129,68.3901,77.3613
soc
100,27,17,60
f1,f2,first_soc,front
125.549,26.2032,100,9
time
49.96,105.48
soc
85,66
f1,f2,first_soc,front
124.561,33.3435,100,9
time
3.72,21.2402,64.7654,83.6087,96.8021,103.869,109.227
soc
98,86,37,33,31,31,42
f1,f2,first_soc,front
120.958,37.1708,100,9
time
37.72
soc
96
f1,f2,first_soc,front
124.616,28.1889,100,9
time
39.08,61.7221
soc
60,91
f1,f2,first_soc,front
124.782,26.5793,100,9
time
41.8,53.8447
soc
37,90
f1,f2,first_soc,front
147.334,25.9869,100,10
time
1,37.5149,65.3982,107.989
soc
100,81,80,84
f1,f2,first_soc,front
120.903,43.3046,100,10
time
13.24,31.547,52.6064,83.8461
soc
92,89,82,65
f1,f2,first_soc,front
128.89,26.4531,100,10
time
5.08,43.359,79.2591,89.3414
soc
100,75,46,76
f1,f2,first_soc,front
125.636,29.7868,100,10
time
39.08,63.2373
soc
63,92
f1,f2,first_soc,front
125.001,37.8317,100,10
time
22.76,65.3741
soc
89,88
f1,f2,first_soc,front
121.119,40.1797,100,10
time
22.76,69.4573,110.595
soc
97,80,30
f1,f2,first_soc,front
134.825,26.7133,100,11
time
28.2,48.3684,100.484
soc
81,89,69
f1,f2,first_soc,front
121.847,50.8468,100,11
time
5.08,65.119,100.158
soc
100,41,37
f1,f2,first_soc,front
124.824,47.0424,100,11
time
18.68,90.7062
soc
96,51
f1,f2,first_soc,front
125.787,30.2817,100,11
time
9.16,35.2688,77.9428
soc
89,70,70
f1,f2,first_soc,front
128.892,28.1078,100,11
time
22.76,79.312
soc
84,76
f1,f2,first_soc,front
145.254,29.1793,100,12
time
43.16,70.2623,102.748
soc
51,64,91
f1,f2,first_soc,front
125.737,73.3922,100,12
time
15.96,53.6483
soc
98,97
f1,f2,first_soc,front
126.553,54.9493,100,12
time
11.88,50.7602
soc
92,95
f1,f2,first_soc,front
127.358,31.9736,100,12
time
47.24,74.9223,104.064
soc
37,39,55
f1,f2,first_soc,front
129.634,29.7019,100,12
time
52.68,104.896
soc
60,58
f1,f2,first_soc,front
138.903,29.2349,100,12
time
21.4,30.7132,75.4855,100.155
soc
75,84,60,87
f1,f2,first_soc,front
139.126,29.1918,100,12
time
32.28,102.938
soc
91,75
f1,f2,first_soc,front
141.522,29.7767,100,13
time
36.36,79.8589,85.4044
soc
71,31,92
f1,f2,first_soc,front
127.502,39.5588,100,13
time
2.36,29.0329,89.0516
soc
100,87,60
f1,f2,first_soc,front
128.222,34.0531,100,13
time
13.24,48.205,60.4713,109.099
soc
87,63,87,51
f1,f2,first_soc,front
132.262,29.8294,100,13
time
40.44,82.1904
soc
81,91
f1,f2,first_soc,front
129.893,31.399,100,13
time
17.32,48.0526,55.6451,75.6488
soc
76,35,64,93
f1,f2,first_soc,front
138.85,30.0716,100,14
time
26.84,56.7654,112.369
soc
66,90,82
f1,f2,first_soc,front
128.012,47.2796,100,14
time
11.88,38.8614,79.3157,97.678
soc
95,88,69,72
f1,f2,first_soc,front
129.938,32.784,100,14
time
45.88,82.8696,111.027
soc
85,91,65
f1,f2,first_soc,front
129.203,41.9658,100,14
time
35,55.5866
soc
63,99
f1,f2,first_soc,front
134.502,31.5639,100,14
time
33.64,99.3709,110.361
soc
93,52,70
f1,f2,first_soc,front
137.18,30.533,100,14
time
40.44,80.4338
soc
57,87
f1,f2,first_soc,front
148.736,32.8896,100,15
time
45.88,101.122
soc
67,89
f1,f2,first_soc,front
128.8,49.6297,100,15
time
11.88,41.921,58.9031,107.617
soc
94,81,89,49
f1,f2,first_soc,front
135.989,32.8911,100,15
time
51.32,82.5284
soc
45,87
f1,f2,first_soc,front
130.131,37.3381,100,15
time
17.32,79.9977
soc
92,75
f1,f2,first_soc,front
129.532,49.3229,100,15
time
10.52,65.8888,78.0157,90.3635
soc
94,28,24,62
f1,f2,first_soc,front
131.324,37.203,100,15
time
15.96,80.1674
soc
96,78
f1,f2,first_soc,front
136.856,34.2752,100,16
time
17.32,48.3732,74.9574,91.9862
soc
81,50,26,79
f1,f2,first_soc,front
130.633,52.8526,100,16
time
36.36,76.9301
soc
94,99
f1,f2,first_soc,front
132.819,37.8332,100,16
time
26.84,79.4801
soc
90,87
f1,f2,first_soc,front
131.346,49.0273,100,16
time
28.2,86.7962
soc
100,84
f1,f2,first_soc,front
132.137,40.4384,100,16
time
21.4,49.5618,72.133,87.364
soc
88,78,74,90
f1,f2,first_soc,front
151.495,34.3568,100,17
time
39.08,110.246
soc
87,87
f1,f2,first_soc,front
131.605,57.7567,100,17
time
9.16,31.5316,65.1885
soc
96,87,90
f1,f2,first_soc,front
132.169,47.5791,100,17
time
54.04
soc
93
f1,f2,first_soc,front
146.536,34.5681,100,17
time
44.52,89.91
soc
66,95
f1,f2,first_soc,front
136.427,38.9757,100,17
time
48.6,73.6599,92.002
soc
51,72,94
f1,f2,first_soc,front
138.881,34.7973,100,17
time
32.28,49.7484,103.198
soc
75,95,79
f1,f2,first_soc,front
132.601,40.5916,100,17
time
48.6,121.292
soc
95,58
f1,f2,first_soc,front
132.211,41.6479,100,17
time
11.88,46.6769,72.1495
soc
84,71,96
f1,f2,first_soc,front
138.156,35.6095,100,17
time
14.6,67.0802,88.0772,110.082
soc
95,58,60,72
f1,f2,first_soc,front
151.72,34.9799,100,18
time
43.16,94.1185,123.751
soc
74,79,95
f1,f2,first_soc,front
132.243,59.9892,100,18
time
14.6,44.6393,98.6866
soc
93,98,66
f1,f2,first_soc,front
133.289,43.8256,100,18
time
48.6,86.2672
soc
82,95
f1,f2,first_soc,front
138.051,43.133,100,18
time
51.32,99.1864
soc
83,91
f1,f2,first_soc,front
145.146,35.0132,100,18
time
36.36,49.9025,81.6,98.0157,113.232,140.025
soc
44,82,81,82,91,69
f1,f2,first_soc,front
138.223,35.7034,100,18
time
22.76,70.4712
soc
82,94
f1,f2,first_soc,front
141.437,35.5881,100,18
time
29.56,101.921,113.127
soc
95,43,77
f1,f2,first_soc,front
147.916,35.7335,100,19
time
