第0世代
f1,f2
113.031,41.0887
114.917,40.1141
114.569,41.0039
135.61,32.4297
111.468,75.3689
122.823,32.7922
112.28,68.1823
116.911,38.2366
112.377,50.3146
114.608,43.3345
112.654,45.529
139.672,34.0089
113.398,52.3531
125.204,38.2366
139.229,36.3265
120.695,42.3836
117.444,45.4012
121.525,39.0596
116.365,49.1392
117.204,48.437
142.545,34.0398
113.737,73.4599
138.141,38.2366
123.394,41.4485
113.827,62.3128
117.683,52.4508
121.981,48.8266
118.744,49.0571
143.722,36.0048
113.831,67.8261
117.83,61.8223
138.928,42.9341
132.599,44.0171
127.554,45.6062
118.638,56.4499
122.823,49.7177
136.003,42.9453
125.115,46.5094
118.999,52.0031
123.764,49.2372
118.891,53.5356
118.976,52.0176
136.847,43.5787
115.862,93.8357
116.367,73.7739
131.083,47.9996
119.479,65.4347
120.024,53.1586
124.896,50.1737
133.226,45.939
122.589,52.2928
118.545,70.3773
117.04,72.2629
124.87,52.0719
133.875,46.8043
116.674,73.8858
120.095,64.3174
125.657,50.9481
131.588,50.471
122.25,55.9201
121.567,58.6798
144.842,50.0704
119.838,86.1743
120.555,64.8984
131.703,55.8022
122.658,58.4273
137.783,54.7324
143.071,53.1406
138.034,58.4231
120.763,81.2639
128.886,58.7376
121.296,67.948
120.913,79.5305
122.919,65.974
123.755,58.8776
123.623,60.31
133.821,58.9921
120.897,103.906
122.177,80.1213
127.605,60.0329
123.674,67.9461
125.624,61.8132
123.616,76.7173
136.141,59.8561
121.559,119.527
129.884,69.1513
122.369,109.016
123.47,94.7408
132.607,65.9372
124.284,85.1617
125.639,71.2296
135.323,61.6384
125.384,72.9434
140.164,64.763
124.125,149.509
124.292,94.6333
133.199,66.4846
132.077,71.5975
127.031,78.8517
125.529,82.267
125.253,94.0981
126.834,80.7714
144.088,64.8744
124.868,101.638
136.944,67.2093
125.581,87.0992
133.283,72.3472
128.021,81.9606
133.05,77.318
131.752,80.2878
130.135,80.7277
138.748,69.2534
126.038,118.619
126.11,89.1018
131.541,82.4977
137.103,72.9228
134.258,76.0281
133.644,78.5079
128.932,87.5012
129.037,85.1465
137.945,71.1754
153.756,75.5628
126.399,105.624
143.415,75.9882
127.038,93.171
131.847,85.1914
137.422,76.022
135.559,80.7884
136.537,80.0901
128.317,90.5698
130.683,87.1732
129.355,88.7113
127.816,92.6315
130.19,88.1948
143.022,76.7673
127.09,109.641
131.425,87.2861
136.765,80.9138
127.644,100.219
130.413,93.8355
138.105,77.6794
138.142,78.0029
128.631,120.581
133.125,90.1447
130.788,98.6856
129.739,103.322
129.941,102.627
140.359,80.7751
129.253,149.142
129.953,119.145
133.959,90.3149
132.362,110.854
133.368,92.5939
141.545,80.888
130.789,119.525
139.902,91.2071
133.834,110.102
135.922,92.6643
134.216,102.256
134.561,98.1814
135.17,93.832
157.269,82.6365
136.193,130.567
143.303,82.9809
136.384,99.3708
139.564,92.7034
141.679,83.1625
137.792,97.1263
137.585,98.3243
137.655,97.904
146.284,83.097
137.155,154.363
138.041,113.823
143.374,89.3067
141.604,94.6201
140.205,96.0021
138.805,97.333
138.44,107.985
138.51,102.572
146.398,87.1936
137.341,159.053
139.057,99.2272
143.909,91.5808
152.512,88.4165
139.696,106.869
144.438,99.2208
151.012,93.0422
141.264,102.896
139.91,106.843
147.593,100.144
140.316,127.963
143.778,105.786
140.773,113.084
140.392,119.24
140.483,113.906
153.688,100.171
140.917,117.713
147.769,104.396
144.572,112.263
142.204,113.117
141.78,115.206
141.989,114.205
155.635,106.603
140.998,119.209
148.374,111.785
142.264,114.281
150.781,106.856
152.834,114.141
142.307,124.242
148.971,120.801
151.251,120.518
165.974,115.585
142.483,125.348
153.774,117.484
155.858,116.14
154.731,122.238
143.613,151.702
144.07,132.023
149.091,131.948
152.282,128.938
161.596,127.664
144.166,132.448
161.044,128.484
151.873,132.992
145.403,162.126
147.841,157.833
162.871,133.435
146.095,183.061
152.849,158.073
156.501,135.448
155.438,155.997
172.262,139.904
159.401,161.44
160.29,146.579
162.658,147.199
167.96,148.527
164.61,205.973
165.563,161.488
172.782,159.71
164.671,218.641
170.792,179.151
172.439,163.666
176.682,192.232

第5世代
f1,f2
126.149,23.1202
104.947,42.96
109.053,33.5556
113.22,27.5307
114.461,23.1576
119.606,23.1215
110.409,29.4403
110.209,30.925
118.52,23.1316
119.207,23.1295
127.759,23.1202
105.912,48.529
111.058,37.7595
110.288,42.5967
114.747,28.0359
114.24,28.7121
121.818,23.1444
122.244,23.1394
128.04,23.123
108.973,53.7188
112.084,41.8541
114.492,33.133
119.543,31.0966
122.492,23.95
110.359,47.1931
116.336,31.3088
125.133,23.1394
130.646,23.1318
110.544,60.9072
113.352,43.8036
123.265,28.0359
117.811,34.5911
114.539,39.0934
115.013,35.5374
125.992,23.1404
125.229,23.1447
125.997,23.1404
111.277,63.3273
125.06,35.2143
116.114,37.3877
113.846,48.437
115.245,45.4296
125.729,23.1637
129.477,28.8222
112.093,78.3048
114.027,48.437
120.904,38.6975
112.327,68.3338
127.439,33.133
117.338,40.9362
132.78,31.5871
115.333,71.7643
128.441,38.2366
121.689,41.7362
115.433,56.4636
115.707,48.437
117.843,44.6097
119.342,43.5764
134.8,31.5871
116.305,48.437
134.507,37.5381
119.342,43.5787
127.721,42.3971
122.428,42.4193
127.647,42.4128
137.351,37.3004
116.451,56.6685
128.17,43.6803
116.707,48.437
120.106,44.3003
127.249,44.2136
138.957,39.8539
116.763,63.3229
129.709,43.8913
116.792,48.9613
121.554,46.7964
138.205,42.378
133.928,45.995
117.683,75.8067
121.689,47.7431
120.047,52.2039
119.088,64.5942
119.069,67.0952
120.507,49.8273
136.346,48.2784
118.495,89.9658
121.339,55.9363
133.236,48.3978
126.247,48.437
119.082,71.12
119.764,69.1752
123.92,48.8157
119.237,71.0321
137.435,48.7806
119.522,86.7708
120.091,69.5383
123.277,56.4743
129.627,51.3925
128.941,51.9671
141.885,49.1666
121.662,86.9072
138.461,51.9764
129.004,51.9845
122.999,80.7333
124.129,68.0061
127.368,56.6412
126.401,61.718
125.058,64.9048
122.387,85.4325
144.258,51.6395
122.042,128.163
124.226,86.1873
132.516,51.9903
123.709,125.482
129.514,53.6704
127.591,64.9401
124.67,73.9307
125.511,67.8816
125.718,66.6833
143.571,52.4235
123.928,139.062
124.748,77.334
138.128,56.3619
130.427,60.4411
127.598,66.1074
134.557,58.373
133.941,60.3506
126.729,75.3697
126.991,70.5829
150.007,58.8451
124.904,104.672
125.809,78.7302
127.654,69.2238
140.787,61.3819
131.005,63.1856
134.744,61.6535
139.575,61.5713
147.189,62.9112
125.488,147.104
138.039,64.2759
125.507,107.772
131.829,67.9496
128.852,71.0644
127.586,82.4998
125.85,91.0174
125.782,105.789
126.206,86.0873
142.808,67.9721
126.175,105.521
126.258,90.68
132.225,68.0662
129.04,79.9869
131.864,74.3697
130.389,76.4352
129.496,77.5693
129.38,78.7501
132.999,69.9777
126.35,101.084
129.698,81.7956
131.858,76.6508
128.223,94.3518
128.848,93.2894
148.908,70.1035
127.419,122.649
129.229,100.154
135.442,70.7713
131.918,78.4741
129.797,87.1209
134.192,72.0467
130.644,84.2746
141.697,71.1809
129.811,116.062
130.224,93.7
132.772,79.0752
131.421,85.1437
138.005,71.3431
135.089,75.6503
130.367,90.559
137.281,74.3534
135.576,74.3792
135.429,74.6708
144.166,71.3617
130.529,133.467
132.764,85.9182
138.467,74.3361
136.552,78.3518
133.799,85.1417
159.128,73.9872
130.926,134.867
132.794,92.081
146.696,74.0071
140.674,80.1109
135.845,86.8449
133.467,89.4987
152.932,75.2361
132.981,100.065
141.766,80.4338
136.511,88.7584
133.959,90.3149
135.347,89.5204
148.837,80.7465
134.637,119.52
144.9,80.8393
137.905,89.1483
135.829,99.5736
136.162,97.7771
137.326,89.659
146.41,80.9717
135.97,109.17
139.272,91.6463
137.953,106.38
138.039,94.3657
152.236,81.9472
136.437,110.835
143.137,92.5342
138.115,107.447
139.168,95.8483
140.354,95.8336
143.127,94.4172
152.241,81.9502
136.977,126.819
143.561,93.646
139.29,106.591
138.965,111.975
137.041,122.061
152.376,87.3524
138.52,127.433
145.688,95.15
140.359,106.895
139,123.122
139.319,109.213
149.623,98.0171
139.575,143.013
140.359,110.941
141.546,109.075
146.187,105.22
147.721,102.482
148.274,98.7279
146.291,103.61
158.479,100.522
141.898,166.511
142.349,117.898
154.952,107.806
152.06,111.871
146.039,112.499
146.005,112.998
152.107,110.743
159.913,105.826
142.483,125.348
142.738,121.141
147.966,114.486
158.076,112.412
154.344,112.855
150.284,114.367
161.305,110.706
142.624,135.808
148.305,114.512
146.39,123.23
143.247,128.521
148.2,116.014
145.608,126.728
154.52,115.3
142.872,186.496
144.432,135.687
150.968,121.178
143.53,158.853
153.849,118.465
160.664,116.732
145.076,159.919
149.025,147.995
151.583,126.955
151.217,139.064
154.722,117.667
154.615,120.881
150.134,146.167
160.873,123.846
152.124,150.427
152.139,138.595
155.29,128.157
156.015,125.079
158.815,127.012
152.7,173.955
154.8,143.439
154.439,152.895
152.779,162.861
159.93,136.035
155.164,204.856
156.2,150.178
159.293,138.855
156.867,150.095
160.361,137.001
158.142,158.744
166.136,138.879
162.875,160.176
165.634,150.184
167.209,163.56
165.875,178.498
171.211,182.854
166.48,199.209
170.907,253.815

第10世代
f1,f2
127.073,23.1202
105.596,64.526
106.447,39.5188
117.848,23.123
112.805,29.8955
109.492,32.5741
109.558,32.4062
112.825,24.8927
114.777,23.1267
113.873,23.5257
114.449,23.137
109.497,32.5641
131.083,23.123
108.224,60.7684
108.825,50.9162
125.639,23.126
118.52,23.1316
110.793,41.7131
112.972,32.3827
115.593,26.4025
112.214,36.3323
115.641,23.5673
111.03,38.3357
125.876,23.1295
109.74,57.3034
113.816,38.254
110.97,46.4029
116.81,26.4322
122.396,23.1341
113.069,41.9737
118.502,25.7337
109.993,55.7596
117.015,25.7921
122.828,23.1341
110.772,62.1229
117.287,30.3389
114.491,40.0924
112.215,47.3729
122.563,28.0359
113.243,44.9583
122.749,23.1494
123.186,23.1444
112.442,56.2152
117.507,40.9187
122.823,30.7866
115.654,54.1848
115.831,46.4757
115.779,47.9032
124.373,27.8111
112.464,66.3776
120.723,42.4193
114.891,57.2175
118.11,43.7764
116.729,48.437
115.976,55.8046
117.117,46.8445
115.433,56.4717
124.452,28.0359
114.144,82.2
116.339,61.9791
114.685,68.7251
122.639,43.3345
118.621,54.5524
120.842,47.5311
118.923,50.8187
122.147,45.5738
128.941,28.1076
115.6,80.6984
125.253,34.0221
117.98,62.6603
122.42,45.6094
116.772,72.7962
119.954,57.2919
120.502,53.2985
121.848,48.437
121.216,53.188
121.302,50.3722
121.583,49.8147
121.383,49.9703
143.732,34.0017
115.87,96.824
139.662,35.9981
128.364,36.9208
119.787,72.0907
119.395,84.3951
121.582,61.9129
118.324,94.7793
122.753,45.6138
121.756,55.2102
125.522,43.3345
125.565,38.2171
130.048,39.1822
121.1,82.0285
121.903,58.5023
125.718,50.5056
127.67,45.8241
121.258,75.757
121.136,79.9392
135.955,39.1951
121.375,79.3241
123.256,73.4941
129.628,46.5158
125.997,62.798
126.896,58.915
127.837,55.6845
128.309,52.6064
129.623,50.8629
138.985,39.1963
121.573,84.8568
126.245,64.8733
136.802,49.5481
130.959,51.9922
128.706,53.2907
127.369,62.8813
142.733,42.1629
122.298,107.043
130.705,53.6257
126.736,77.5335
127.442,62.8883
