第0世代
f1,f2
138.291,23.6688
122.46,38.791
129.557,27.1848
122.633,31.5386
125.131,29.1911
128.762,28.9429
123.33,30.9862
128.9,28.4866
124.132,30.3449
124.555,29.7345
144.92,22.8317
122.03,41.4131
122.654,32.3751
141.86,22.8491
134.795,24.5305
128.813,29.1956
125.219,29.9942
132.451,26.7415
134.212,25.5907
130.461,27.708
124.901,31.4434
130.428,28.7629
124.217,32.0976
143.769,23.5904
122.684,48.6396
122.999,40.3666
135.311,24.5494
123.935,34.5912
133.583,27.4408
130.987,28.1862
134.577,26.6797
129.159,29.2419
125.012,31.5395
124.358,34.0411
127.421,30.0014
126.698,30.6307
130.633,29.0144
125.33,30.8014
138.5,25.074
123.042,61.8079
123.495,50.6407
124.089,35.7853
131.039,30.3547
135.331,26.7678
132.184,28.1889
123.062,53.6507
127.015,30.7896
137.676,26.386
125.25,34.8118
126.296,32.2611
125.458,32.8454
125.293,32.9896
126.651,31.3934
126.47,31.9424
138.678,25.0803
124.192,42.3192
134.91,29.8267
135.365,26.7814
130.893,30.9862
124.372,38.0426
125.272,36.4062
127.201,32.7255
125.935,33.9508
129.26,31.263
125.346,33.9902
129.533,31.1003
127.838,32.3932
127.838,32.3932
145.548,25.3905
124.569,52.4678
124.761,38.6468
139.463,26.0175
130.222,31.3782
125.937,34.4154
135.882,28.9752
128.659,32.4441
136.092,27.0974
135.916,27.5931
140.334,26.1583
124.809,69.695
124.92,38.8045
136.592,27.9285
132.593,31.7281
140.205,27.5134
135.144,31.6001
130.651,31.8659
136.167,31.389
129.202,32.7855
126.047,37.9917
126.247,35.1481
127.749,34.5717
129.711,32.5499
127.581,34.9726
141.969,26.6363
125.039,43.5625
126.527,35.2273
126.516,41.648
140.302,27.5987
131.841,32.3846
137.53,29.7868
138.328,29.1887
135.978,32.2642
135.401,32.3798
129.24,33.9971
130.056,32.9812
129.419,33.2152
129.271,33.8631
148.272,26.6465
125.254,47.8516
126.129,45.8477
126.729,37.6849
141.458,27.6479
132.09,32.5499
138.357,29.7823
145.852,27.5987
136.792,32.4112
130.316,34.5695
137.828,31.7079
129.373,35.7457
127.339,36.1792
128.526,36.1705
126.879,37.1813
143.216,28.1154
125.555,73.5968
126.656,48.2988
126.011,64.5173
136.974,32.4223
139.653,30.578
126.886,37.9356
129.914,35.8467
133.686,32.9634
132.537,35.3323
139.575,32.2476
128.233,36.2313
133.455,34.5823
127.412,37.3778
127.832,36.3938
145.259,29.1785
126.959,58.6466
127.121,42.632
135.184,36.1991
129.563,36.6895
142.128,30.7949
136.169,33.1218
139.249,32.7703
139.904,30.7963
127.67,37.4619
127.213,38.7854
127.122,41.6948
129.559,37.4446
156.909,29.5508
127.543,41.2892
136.891,33.3419
130.899,37.168
151.302,31.5877
128.508,38.6841
142.535,32.3877
145.606,31.7647
128.021,40.9721
144.133,31.8934
144.161,31.7837
148.669,31.9153
127.659,53.6137
127.719,46.8344
130.367,39.1279
137.911,35.4885
134.663,37.2305
127.872,42.0367
144.328,32.9812
144.379,32.1434
127.85,42.5609
140.753,33.973
132.642,38.896
140.285,35.1348
133.239,37.4824
140.584,33.994
147.898,32.3516
128.034,46.9188
129.037,42.5733
128.063,46.6937
