elapsed time [min],battery [Wh],task [times],P short,P charg,B short,B charg,C short,C charg,short total cons [wh],charg total cons [wh]
0,99.85,0,11.5,6.23,98.9,99.1,8.6,15.9,1,1.8
0.4,99.25,1,11.04,6.08,98.25,99.05,8.9,16.3,1,1.85
0.8,98.65,2,11.1,6.12,97.65,99.1,8.8,16.2,1,1.85
1.1,98.05,3,11.02,6.08,97,99.05,8.8,16.3,1,1.85
1.5,97.4,4,10.95,6.12,96.4,99.1,8.8,16.2,1,1.85
1.8,96.8,5,10.89,6.12,95.8,99.1,8.8,16.2,1,1.85
2.2,96.15,6,10.81,6.12,95.15,99.1,8.8,16.2,1,1.85
2.6,95.55,7,10.62,6.08,94.54,99.05,8.9,16.3,1,1.85
2.9,94.94,8,10.55,6.12,93.89,99.1,8.9,16.2,1,1.85
3.3,94.29,9,10.6,6.08,93.29,99.05,8.8,16.3,1,1.85
3.6,93.69,10,10.41,6.12,92.64,99.1,8.9,16.2,1,1.85
4,93.04,11,10.34,6.08,92.04,99.05,8.9,16.3,1,1.85
4.4,92.44,12,10.39,6.12,91.39,99.1,8.8,16.2,1,1.85
4.7,91.79,13,10.32,6.12,90.79,99.1,8.8,16.2,1,1.85
5.1,91.19,14,10.25,6.12,90.19,99.1,8.8,16.2,1,1.85
5.4,90.54,15,10.17,6.12,89.54,99.1,8.8,16.2,1,1.85
5.8,89.94,16,10.11,6.12,88.94,99.1,8.8,16.2,1,1.85
6.2,89.34,17,9.92,6.08,88.29,99.05,8.9,16.3,1,1.85
6.5,88.69,18,9.96,6.12,87.69,99.1,8.8,16.2,1,1.85
6.9,88.09,19,9.9,6.08,87.09,99.05,8.8,16.3,1,1.85
7.2,87.44,20,9.82,6.12,86.44,99.1,8.8,16.2,1,1.85
7.6,86.84,21,9.75,6.12,85.84,99.1,8.8,16.2,1,1.85
8,86.19,22,9.79,6.16,85.19,99.1,8.7,16.1,1,1.85
8.3,85.59,23,9.61,6.12,84.58,99.1,8.8,16.2,1,1.85
8.7,84.98,24,9.43,6.08,83.93,99.05,8.9,16.3,1,1.85
9.4,83.68,26,9.4,6.12,82.68,99.1,8.8,16.2,1,1.85
9.8,83.08,27,9.33,6.12,82.08,99.1,8.8,16.2,1,1.85
10.1,82.43,28,9.25,6.12,81.43,99.1,8.8,16.2,1,1.85
10.5,81.83,29,9.08,6.08,80.83,99.05,8.9,16.3,1,1.85
10.9,81.18,30,9.11,6.12,80.18,99.1,8.8,16.2,1,1.85
11.2,80.58,31,9.04,6.08,79.58,99.05,8.8,16.3,1,1.85
11.6,79.98,32,8.97,6.12,78.93,99.1,8.8,16.2,1,1.85
11.9,79.33,33,8.8,6.08,78.33,99.05,8.9,16.3,1,1.85
12.3,78.68,34,8.83,6.12,77.68,99.1,8.8,16.2,1,1.85
12.7,78.08,35,8.76,6.08,77.08,99.05,8.8,16.3,1,1.85
13,77.43,36,8.68,6.12,76.43,99.1,8.8,16.2,1,1.85
13.4,76.83,37,8.52,6.12,75.83,99.1,8.9,16.2,1,1.85
13.8,76.18,38,8.55,6.12,75.23,99.1,8.8,16.2,1,1.85
14.1,75.58,39,8.47,6.12,74.57,99.1,8.8,16.2,1,1.85
14.9,74.32,41,8.33,6.12,73.32,99.1,8.8,16.2,1,1.85
15.2,73.72,42,8.26,6.12,72.72,99.1,8.8,16.2,1,1.85
15.6,73.07,43,8.19,6.12,72.07,99.1,8.8,16.2,1,1.85
15.9,72.47,44,8.12,6.12,71.47,99.1,8.8,16.2,1,1.85
16.3,71.82,45,8.05,6.08,70.82,99.05,8.8,16.3,1,1.85
16.7,71.22,46,7.89,6.08,70.22,99.05,8.9,16.3,1,1.85
17,70.57,47,7.82,6.08,69.57,99.05,8.9,16.3,1,1.85
17.4,69.97,48,7.84,6.12,68.97,99.1,8.8,16.2,1,1.85
17.7,69.37,49,7.68,6.12,68.32,99.1,8.9,16.2,1,1.85
18.1,68.72,50,7.7,6.12,67.72,99.1,8.8,16.2,1,1.85
18.5,68.12,51,7.63,6.08,67.12,99.05,8.8,16.3,1,1.85
18.8,67.47,52,7.55,6.12,66.47,99.1,8.8,16.2,1,1.85
19.2,66.87,53,7.48,6.08,65.87,99.05,8.8,16.3,1,1.85
19.5,66.27,54,7.41,6.08,65.22,99.05,8.8,16.3,1,1.85
19.9,65.62,55,7.34,6.12,64.61,99.1,8.8,16.2,1,1.85
20.3,65.02,56,7.19,6.08,63.96,99.05,8.9,16.3,1,1.85
